ID,INPUT1,INPUT2,INPUT3,INPUT4,SWITCH,SOUND
202223,13,68,42,65,Minimum,Gargle
299603,33,4,33,77,Minimum,Hiss
240421,4,33,100,19,Low,Gargle
297334,30,13,7,77,Maximum,Gargle
205940,22,43,85,38,Minimum,Tick
206240,19,17,13,35,Medium,Tick
200636,45,10,59,32,Minimum,Kaboom
236259,35,88,7,29,Maximum,Hiss
211397,18,17,36,4,Low,Beep
248592,87,39,41,100,Minimum,Beep
214751,21,60,10,33,Medium,Tick
297863,89,22,78,78,Minimum,Hiss
289404,69,49,54,99,Medium,Hiss
250265,81,41,18,10,Maximum,Sizzle
248419,81,78,27,37,Low,Tick
285789,22,95,29,68,Maximum,Tick
250297,45,12,47,10,Low,Tick
228184,6,48,1,78,Low,Tick
222929,21,1,64,95,Maximum,Tick
294339,62,67,6,72,Minimum,Hiss
224003,42,87,67,2,Low,Tick
234176,61,38,69,56,Medium,Sizzle
257395,28,77,55,82,Maximum,Tick
254899,96,97,15,84,Low,Rumble
274146,73,0,27,35,Maximum,Sizzle
238761,4,19,79,61,Low,Gargle
288575,46,87,30,1,Low,Tick
259079,17,22,52,26,Minimum,Gargle
274005,88,41,79,87,Minimum,Sizzle
250955,47,77,59,37,Minimum,Sizzle
232877,6,94,71,6,Maximum,Gargle
252681,85,90,77,97,Medium,Sizzle
249686,84,74,100,28,Low,Tick
204579,15,70,59,71,High,Gargle
213229,1,15,38,67,Maximum,Gargle
234648,95,91,83,13,Medium,Sizzle
247190,68,48,53,8,Low,Tick
271739,84,18,38,11,Minimum,Rumble
299065,59,35,72,9,High,Gargle
274192,69,7,87,95,High,Gargle
250888,87,47,28,65,Maximum,Sizzle
248614,84,86,58,83,High,Gargle
253711,40,53,45,95,High,Gargle
231448,96,21,59,2,Minimum,Beep
253769,85,38,95,79,High,Gargle
204441,15,52,0,37,Low,Tick
263616,97,91,35,29,Medium,Sizzle
285688,48,36,78,86,Medium,Rumble
220620,97,91,59,57,Low,Hiss
221840,58,54,27,95,High,Beep
279723,6,36,4,84,Low,Tick
292067,79,56,16,90,Medium,Sizzle
256850,14,34,45,60,Low,Gargle
266365,41,76,8,64,Minimum,Kaboom
287296,73,49,43,78,Medium,Sizzle
276126,53,29,19,99,Maximum,Rumble
252811,96,11,58,39,High,Gargle
