ID,INPUT1,INPUT2,INPUT3,INPUT4,SWITCH,SOUND
86623,30,31,72,29,Low,Gargle
57936,87,76,31,79,Low,Tick
54301,16,33,87,41,Low,Tick
2678,64,77,91,59,Minimum,Beep
65827,33,72,53,66,High,Beep
22420,5,50,26,50,High,Gargle
2285,82,72,60,73,High,Tick
62571,44,85,100,8,Minimum,Kaboom
49229,92,31,100,64,Low,Gargle
63532,28,51,77,4,Low,Gargle
95253,85,79,87,19,Medium,Sizzle
89339,57,55,36,41,Minimum,Sizzle
94650,91,64,33,7,High,Tick
72209,80,84,41,15,Medium,Sizzle
88139,0,5,33,95,Minimum,Gargle
21877,95,56,6,99,Medium,Beep
36361,9,67,64,49,Low,Tick
80365,21,7,31,26,Maximum,Tick
43910,78,31,79,86,Medium,Beep
34004,86,20,65,18,Medium,Sizzle
95116,13,68,77,48,Minimum,Gargle
99810,56,63,77,46,Low,Gargle
14811,43,51,1,32,Minimum,Rumble
92553,53,36,39,9,High,Gargle
54114,76,17,96,58,Medium,Sizzle
1575,48,35,39,54,High,Gargle
47402,87,35,96,30,Maximum,Hiss
56554,23,93,84,15,Minimum,Tick
18586,42,71,10,48,Maximum,Kaboom
8976,83,27,82,9,Minimum,Sizzle
32393,21,45,28,26,Maximum,Tick
49505,9,25,64,62,Medium,Gargle
84999,56,98,83,91,Medium,Sizzle
82373,51,62,76,92,Medium,Rumble
34339,1,43,51,21,High,Gargle
86587,70,7,63,60,Maximum,Beep
71632,74,7,87,47,Low,Gargle
23631,2,54,76,47,Low,Gargle
38425,2,52,24,27,Minimum,Tick
70799,74,33,97,93,Maximum,Hiss
18462,9,13,37,78,Low,Tick
85906,62,5,55,70,High,Gargle
58392,100,97,47,59,Maximum,Sizzle
81520,47,23,91,75,Maximum,Rumble
9493,74,22,77,35,Medium,Hiss
45000,83,55,76,70,Maximum,Hiss
57690,7,97,62,69,Maximum,Tick
17438,74,68,74,30,Maximum,Sizzle
78075,96,65,81,61,High,Gargle
14509,64,23,80,5,Low,Gargle
62800,82,74,6,63,High,Gargle
7400,0,37,42,73,Low,Gargle
44786,28,20,41,40,Minimum,Rumble
29841,74,87,39,55,Low,Tick
63108,41,44,1,47,Minimum,Kaboom
33549,94,47,96,68,High,Gargle
78712,38,22,88,7,Low,Gargle
96146,95,21,43,20,Maximum,Hiss
6954,5,35,61,27,Low,Beep
14328,68,28,37,66,Medium,Rumble
69683,22,32,4,51,High,Gargle
84805,3,60,87,67,Medium,Gargle
38334,17,60,47,69,High,Beep
61926,55,89,0,30,Low,Tick
97888,90,74,20,45,High,Gargle
76003,67,79,27,73,Medium,Hiss
18754,38,68,89,88,Maximum,Kaboom
8761,26,32,50,98,Low,Tick
44690,33,0,32,32,Maximum,Kaboom
43550,61,94,95,54,Maximum,Sizzle
14488,70,39,65,19,Low,Tick
54092,28,97,27,52,Medium,Tick
30526,38,5,25,21,High,Gargle
98450,7,35,94,74,Maximum,Gargle
27504,50,84,97,25,High,Gargle
77666,86,59,40,31,Minimum,Sizzle
71690,99,26,75,30,Low,Gargle
68535,34,69,11,22,Medium,Hiss
8246,43,70,78,95,Minimum,Rumble
70674,18,4,43,2,High,Gargle
8385,23,41,16,59,Maximum,Tick
86518,58,77,30,20,High,Gargle
38563,65,45,15,96,Minimum,Beep
37997,0,74,33,47,Maximum,Gargle
75902,67,23,97,74,High,Beep
42162,10,29,76,5,Medium,Gargle
91523,27,96,23,24,Minimum,Tick
75264,29,80,27,73,Maximum,Tick
58176,16,2,84,11,Medium,Beep
73793,78,64,93,86,Medium,Sizzle
73086,81,54,53,93,Minimum,Rumble
8097,53,61,70,82,Minimum,Rumble
20343,2,67,51,98,Minimum,Gargle
20327,46,17,77,40,Medium,Kaboom
64994,84,69,2,48,Maximum,Sizzle
47601,12,71,65,0,Low,Tick
31587,31,30,7,4,Minimum,Hiss
30340,12,89,55,87,Medium,Gargle
5419,47,46,53,53,Low,Gargle
9874,51,22,74,68,Low,Gargle
44900,51,4,92,86,Maximum,Rumble
