AGE,STATUS,EDUCATION,YEARS,PROFESSION,NATIVE
21,Private,Some-college,10,Machine-op-inspct,United-States
21,Private,Some-college,10,Other-service,United-States
21,Private,HS-grad,9,Craft-repair,United-States
21,Private,HS-grad,9,Craft-repair,United-States
21,Private,HS-grad,9,Handlers-cleaners,United-States
21,Private,Some-college,10,Sales,United-States
21,Private,Some-college,10,Other-service,United-States
21,NA,Some-college,10,NA,United-States
21,Private,HS-grad,9,Handlers-cleaners,United-States
21,Private,Some-college,10,Sales,United-States
21,Private,Some-college,10,Handlers-cleaners,United-States
21,Private,Some-college,10,Handlers-cleaners,United-States
21,NA,HS-grad,9,NA,United-States
21,Private,10th,6,Handlers-cleaners,United-States
21,Private,Some-college,10,Other-service,United-States
21,Private,Some-college,10,Exec-managerial,United-States
21,Private,Some-college,10,Adm-clerical,United-States
21,Private,Some-college,10,Farming-fishing,United-States
21,Private,Some-college,10,Other-service,United-States
21,Private,Some-college,10,Other-service,United-States
21,Private,HS-grad,9,Other-service,United-States
21,Private,HS-grad,9,Other-service,United-States
21,State-gov,Some-college,10,Other-service,United-States
21,NA,Some-college,10,NA,United-States
21,Private,Some-college,10,Other-service,Puerto-Rico
21,Private,HS-grad,9,Handlers-cleaners,United-States
21,Private,Some-college,10,Other-service,United-States
21,NA,Some-college,10,NA,United-States
21,Private,HS-grad,9,Machine-op-inspct,United-States
21,Private,Some-college,10,Sales,United-States
21,State-gov,Some-college,10,Tech-support,United-States
21,NA,Some-college,10,NA,United-States
21,Private,Some-college,10,Other-service,United-States
21,State-gov,Some-college,10,Prof-specialty,United-States
21,Private,Assoc-voc,11,Machine-op-inspct,United-States
21,Private,11th,7,Other-service,United-States
21,NA,Some-college,10,NA,United-States
21,NA,Assoc-voc,11,NA,United-States
21,Private,Some-college,10,Other-service,United-States
21,NA,Some-college,10,NA,United-States
21,NA,Some-college,10,NA,United-States
21,State-gov,Some-college,10,Adm-clerical,United-States
21,Private,Some-college,10,Other-service,United-States
21,Private,HS-grad,9,Other-service,United-States
21,Private,Some-college,10,Other-service,United-States
21,Private,HS-grad,9,Prof-specialty,United-States
21,NA,Some-college,10,NA,United-States
21,Private,HS-grad,9,Farming-fishing,United-States
21,Private,Some-college,10,Adm-clerical,Mexico
21,Private,Some-college,10,Other-service,United-States
21,Private,Some-college,10,Craft-repair,United-States
21,Private,Some-college,10,Other-service,United-States
21,Private,HS-grad,9,Craft-repair,United-States
21,Private,HS-grad,9,Craft-repair,United-States
21,NA,HS-grad,9,NA,United-States
21,Private,11th,7,Priv-house-serv,Mexico
21,Private,HS-grad,9,Other-service,United-States
21,Private,Some-college,10,Craft-repair,United-States
21,Private,Some-college,10,Prof-specialty,United-States
21,NA,HS-grad,9,NA,United-States
21,Private,Some-college,10,Other-service,NA
21,Private,HS-grad,9,Handlers-cleaners,United-States
21,Private,Some-college,10,Other-service,United-States
21,Private,Some-college,10,Other-service,United-States
21,Private,Some-college,10,Sales,United-States
21,NA,Some-college,10,NA,United-States
21,Private,Some-college,10,Adm-clerical,United-States
21,Local-gov,Some-college,10,Adm-clerical,Guatemala
21,Private,HS-grad,9,Transport-moving,United-States
21,Private,10th,6,Farming-fishing,United-States
21,Private,HS-grad,9,Adm-clerical,Jamaica
21,Private,Assoc-acdm,12,Other-service,Jamaica
21,Private,Some-college,10,Craft-repair,United-States
21,Private,10th,6,Machine-op-inspct,United-States
21,Private,Some-college,10,Handlers-cleaners,United-States
21,Private,Some-college,10,Other-service,United-States
21,Private,Some-college,10,Sales,United-States
21,Private,HS-grad,9,Craft-repair,United-States
21,Private,HS-grad,9,Farming-fishing,United-States
21,Private,Some-college,10,Sales,United-States
21,Private,Some-college,10,Tech-support,Ecuador
21,Private,Some-college,10,Prof-specialty,United-States
21,Private,Some-college,10,Adm-clerical,United-States
21,Private,HS-grad,9,Adm-clerical,United-States
21,Private,HS-grad,9,Sales,United-States
21,Private,HS-grad,9,Craft-repair,United-States
21,NA,Some-college,10,NA,United-States
21,Private,Some-college,10,Other-service,United-States
21,NA,Assoc-acdm,12,NA,United-States
21,Private,HS-grad,9,Adm-clerical,United-States
21,Private,HS-grad,9,Adm-clerical,United-States
21,Private,7th-8th,4,Other-service,Mexico
21,Private,HS-grad,9,Exec-managerial,United-States
21,Private,Some-college,10,Prof-specialty,United-States
21,Private,Some-college,10,Other-service,United-States
21,Private,Some-college,10,Adm-clerical,United-States
21,Private,HS-grad,9,Craft-repair,United-States
21,Private,Some-college,10,Machine-op-inspct,United-States
21,Private,HS-grad,9,Sales,United-States
21,Private,Some-college,10,Sales,NA
21,Private,Some-college,10,Sales,United-States
21,Private,Some-college,10,Adm-clerical,United-States
21,Private,Some-college,10,Other-service,United-States
21,Private,Some-college,10,Sales,United-States
21,NA,Some-college,10,NA,United-States
21,Private,Assoc-voc,11,Adm-clerical,United-States
21,Private,HS-grad,9,Sales,NA
21,Private,Some-college,10,Other-service,United-States
21,Private,HS-grad,9,Machine-op-inspct,Mexico
21,State-gov,Some-college,10,Adm-clerical,United-States
21,Self-emp-inc,Some-college,10,Exec-managerial,United-States
21,Local-gov,Some-college,10,Adm-clerical,United-States
21,Private,Assoc-acdm,12,Adm-clerical,United-States
21,Private,HS-grad,9,Adm-clerical,United-States
21,Private,Some-college,10,Handlers-cleaners,United-States
21,Private,Some-college,10,Prof-specialty,United-States
21,Private,Assoc-acdm,12,Adm-clerical,United-States
21,Private,HS-grad,9,Handlers-cleaners,United-States
21,Private,HS-grad,9,Adm-clerical,United-States
21,NA,Some-college,10,NA,United-States
21,Private,Assoc-voc,11,Transport-moving,United-States
21,Private,Some-college,10,Other-service,United-States
21,Private,Assoc-voc,11,Adm-clerical,United-States
21,Private,HS-grad,9,Other-service,United-States
21,Private,Some-college,10,Other-service,United-States
