Dealership,Season,Car,Buyer,Buyer_Age
Austin,Spring,Nissan,Male,26
San Antonio,Spring,Kia,Female,37
Philladephia,Spring,Jeep,Male,75
San Diego,Fall,Kia,Female,67
San Diego,Fall,Jeep,Female,70
San Diego,Winter,Subaru,Female,67
Columbus,Summer,Ford,Female,49
Phoenix,Winter,Toyota,Male,48
Chicago,Fall,Toyota,Male,47
NYC,Spring,Nissan,Female,38
Houston,Spring,Honda,Female,42
Houston,Spring,Toyota,Female,39
Philladephia,Fall,Hyundai,Male,63
San Diego,Winter,Kia,Male,34
LA,Fall,Ford,Female,36
Seattle,Spring,Hyundai,Female,54
Columbus,Winter,Ram,Male,28
San Diego,Winter,Toyota,Female,49
Philladephia,Spring,Nissan,Female,27
Philladephia,Summer,Jeep,Male,25
Austin,Spring,Kia,Male,48
Austin,Fall,Ford,Male,38
Philladephia,Spring,Ram,Male,59
Chicago,Summer,Ram,Male,68
Phoenix,Winter,GMC,Male,34
Phoenix,Summer,GMC,Female,64
San Diego,Winter,Chevrolet,Male,55
Seattle,Spring,GMC,Male,57
Seattle,Spring,Honda,Male,22
Phoenix,Summer,Ford,Male,29
San Antonio,Spring,Nissan,Male,54
Houston,Winter,Nissan,Female,23
Houston,Summer,Ford,Female,77
Chicago,Summer,Honda,Female,23
Seattle,Winter,Honda,Female,66
Phoenix,Spring,GMC,Male,59
NYC,Summer,Chevrolet,Female,34
Chicago,Winter,Ram,Male,73
Columbus,Winter,Honda,Male,71
San Antonio,Spring,Chevrolet,Male,69
Phoenix,Spring,Ford,Female,79
San Antonio,Fall,Honda,Male,79
Chicago,Spring,Kia,Female,29
San Diego,Fall,Hyundai,Male,41
San Diego,Winter,Hyundai,Male,55
Houston,Winter,Kia,Male,52
Seattle,Spring,Toyota,Female,68
Columbus,Winter,Subaru,Female,36
San Diego,Winter,Jeep,Female,38
Houston,Spring,Kia,Female,43
Austin,Summer,Chevrolet,Male,68
Phoenix,Winter,Ram,Male,35
Austin,Fall,Kia,Female,68
Chicago,Summer,Hyundai,Male,39
San Diego,Fall,Chevrolet,Male,56
NYC,Fall,Kia,Female,79
NYC,Summer,Nissan,Male,43
Chicago,Fall,Ram,Female,30
Austin,Spring,Hyundai,Male,57
San Diego,Summer,Ford,Male,64
Columbus,Spring,Kia,Male,67
San Diego,Fall,Ram,Male,73
Seattle,Spring,Ram,Female,27
Seattle,Winter,Toyota,Female,19
San Diego,Winter,Toyota,Male,48
Philladephia,Summer,Jeep,Female,56
Seattle,Winter,Subaru,Male,68
Austin,Fall,Nissan,Female,33
San Antonio,Winter,Honda,Female,44
Chicago,Spring,GMC,Male,38
LA,Spring,Chevrolet,Female,22
LA,Winter,Honda,Male,33
San Diego,Winter,Ford,Male,18
Phoenix,Summer,Toyota,Male,19
Austin,Winter,Honda,Female,46
Seattle,Summer,Toyota,Female,56
Columbus,Fall,Hyundai,Female,47
Seattle,Winter,Hyundai,Male,38
Phoenix,Fall,Jeep,Male,53
San Diego,Summer,Honda,Male,31
Chicago,Fall,Toyota,Male,73
