AGE,EDUCATION,YEARS,PROFESSION,CAPITALGAINS,CAPITALLOSS,NATIVE
21,Some-college,10,Machine-op-inspct,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,HS-grad,9,Craft-repair,0,0,United-States
21,HS-grad,9,Craft-repair,0,0,United-States
21,HS-grad,9,Handlers-cleaners,0,0,United-States
21,Some-college,10,Sales,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,?,0,0,United-States
21,HS-grad,9,Handlers-cleaners,0,0,United-States
21,Some-college,10,Sales,290378,0,United-States
21,Some-college,10,Handlers-cleaners,0,0,United-States
21,Some-college,10,Handlers-cleaners,0,0,United-States
21,HS-grad,9,?,1055,0,United-States
21,10th,6,Handlers-cleaners,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,Exec-managerial,4101,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,Some-college,10,Farming-fishing,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,HS-grad,9,Other-service,0,0,United-States
21,HS-grad,9,Other-service,0,1719,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,?,0,0,United-States
21,Some-college,10,Other-service,0,0,Puerto-Rico
21,HS-grad,9,Handlers-cleaners,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,?,0,0,United-States
21,HS-grad,9,Machine-op-inspct,0,0,United-States
21,Some-college,10,Sales,0,0,United-States
21,Some-college,10,Tech-support,0,0,United-States
21,Some-college,10,?,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,Prof-specialty,0,0,United-States
21,Assoc-voc,11,Machine-op-inspct,0,0,United-States
21,11th,7,Other-service,0,0,United-States
21,Some-college,10,?,0,0,United-States
21,Assoc-voc,11,?,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,?,0,0,United-States
21,Some-college,10,?,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,HS-grad,9,Other-service,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,HS-grad,9,Prof-specialty,0,0,United-States
21,Some-college,10,?,262466,0,United-States
21,HS-grad,9,Farming-fishing,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,Mexico
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,Craft-repair,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,HS-grad,9,Craft-repair,0,0,United-States
21,HS-grad,9,Craft-repair,0,0,United-States
21,HS-grad,9,?,0,0,United-States
21,11th,7,Priv-house-serv,0,0,Mexico
21,HS-grad,9,Other-service,0,0,United-States
21,Some-college,10,Craft-repair,0,0,United-States
21,Some-college,10,Prof-specialty,0,0,United-States
21,HS-grad,9,?,0,0,United-States
21,Some-college,10,Other-service,0,0,?
21,HS-grad,9,Handlers-cleaners,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,Sales,0,0,United-States
21,Some-college,10,?,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,Guatemala
21,HS-grad,9,Transport-moving,0,0,United-States
21,10th,6,Farming-fishing,0,0,United-States
21,HS-grad,9,Adm-clerical,0,0,Jamaica
21,Assoc-acdm,12,Other-service,0,0,Jamaica
21,Some-college,10,Craft-repair,0,0,United-States
21,10th,6,Machine-op-inspct,295721,0,United-States
21,Some-college,10,Handlers-cleaners,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,Sales,0,0,United-States
21,HS-grad,9,Craft-repair,0,0,United-States
21,HS-grad,9,Farming-fishing,0,0,United-States
21,Some-college,10,Sales,0,0,United-States
21,Some-college,10,Tech-support,0,0,Ecuador
21,Some-college,10,Prof-specialty,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,HS-grad,9,Adm-clerical,0,0,United-States
21,HS-grad,9,Sales,295164,0,United-States
21,HS-grad,9,Craft-repair,0,0,United-States
21,Some-college,10,?,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Assoc-acdm,12,?,0,0,United-States
21,HS-grad,9,Adm-clerical,0,0,United-States
21,HS-grad,9,Adm-clerical,0,0,United-States
21,7th-8th,4,Other-service,229486,0,Mexico
21,HS-grad,9,Exec-managerial,0,0,United-States
21,Some-college,10,Prof-specialty,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,HS-grad,9,Craft-repair,594,0,United-States
21,Some-college,10,Machine-op-inspct,0,0,United-States
21,HS-grad,9,Sales,0,0,United-States
21,Some-college,10,Sales,0,0,?
21,Some-college,10,Sales,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,Sales,0,0,United-States
21,Some-college,10,?,0,0,United-States
21,Assoc-voc,11,Adm-clerical,0,1579,United-States
21,HS-grad,9,Sales,0,0,?
21,Some-college,10,Other-service,259590,0,United-States
21,HS-grad,9,Machine-op-inspct,0,0,Mexico
21,Some-college,10,Adm-clerical,0,0,United-States
21,Some-college,10,Exec-managerial,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,Assoc-acdm,12,Adm-clerical,0,0,United-States
21,HS-grad,9,Adm-clerical,0,0,United-States
21,Some-college,10,Handlers-cleaners,0,0,United-States
21,Some-college,10,Prof-specialty,0,0,United-States
21,Assoc-acdm,12,Adm-clerical,0,0,United-States
21,HS-grad,9,Handlers-cleaners,0,0,United-States
21,HS-grad,9,Adm-clerical,0,0,United-States
21,Some-college,10,?,0,0,United-States
21,Assoc-voc,11,Transport-moving,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Assoc-voc,11,Adm-clerical,0,0,United-States
21,HS-grad,9,Other-service,232681,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,HS-grad,9,Sales,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Assoc-voc,11,Exec-managerial,0,0,United-States
21,Some-college,10,Exec-managerial,220209,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,HS-grad,9,Sales,0,0,United-States
21,Some-college,10,Adm-clerical,2597,0,United-States
21,Some-college,10,?,0,0,United-States
21,HS-grad,9,?,0,1504,United-States
21,12th,8,Adm-clerical,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,?,0,0,United-States
21,Some-college,10,Other-service,0,0,Germany
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,Some-college,10,Sales,0,0,United-States
21,HS-grad,9,Craft-repair,0,0,United-States
21,HS-grad,9,Adm-clerical,0,0,United-States
21,Some-college,10,Other-service,0,0,Outlying-US(Guam-USVI-etc)
21,HS-grad,9,Farming-fishing,0,0,United-States
21,10th,6,Adm-clerical,0,0,United-States
21,7th-8th,4,Farming-fishing,280582,0,United-States
21,HS-grad,9,Machine-op-inspct,0,0,United-States
21,Some-college,10,Exec-managerial,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,Assoc-acdm,12,Adm-clerical,0,0,United-States
21,Some-college,10,Other-service,242958,0,United-States
21,HS-grad,9,Craft-repair,0,0,United-States
21,Some-college,10,Sales,0,0,United-States
21,Some-college,10,Handlers-cleaners,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,Some-college,10,Prof-specialty,212121,1974,United-States
21,HS-grad,9,?,0,0,United-States
21,HS-grad,9,Transport-moving,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Some-college,10,Tech-support,0,0,United-States
21,Some-college,10,Craft-repair,0,0,United-States
21,HS-grad,9,Other-service,0,0,United-States
21,HS-grad,9,Machine-op-inspct,0,0,United-States
21,HS-grad,9,Adm-clerical,0,0,United-States
21,Preschool,1,Farming-fishing,220112,0,Mexico
21,HS-grad,9,Sales,0,0,United-States
21,HS-grad,9,Machine-op-inspct,0,0,United-States
21,HS-grad,9,Craft-repair,0,0,United-States
21,Some-college,10,Handlers-cleaners,0,0,United-States
21,12th,8,Other-service,0,0,United-States
21,HS-grad,9,Sales,0,0,United-States
21,Some-college,10,Transport-moving,0,0,United-States
21,Some-college,10,Other-service,0,0,United-States
21,Assoc-acdm,12,Other-service,0,0,United-States
21,Some-college,10,Sales,292001,0,United-States
21,Some-college,10,Transport-moving,283905,0,United-States
21,Some-college,10,Sales,0,0,United-States
21,Some-college,10,Sales,0,0,United-States
21,Some-college,10,Exec-managerial,0,0,United-States
21,Assoc-acdm,12,?,0,0,United-States
21,5th-6th,3,Priv-house-serv,0,0,Mexico
21,Some-college,10,Priv-house-serv,0,0,United-States
21,HS-grad,9,Adm-clerical,0,0,United-States
21,10th,6,Machine-op-inspct,0,0,United-States
21,HS-grad,9,?,0,0,United-States
21,HS-grad,9,Sales,4101,0,United-States
21,HS-grad,9,Handlers-cleaners,3325,0,United-States
21,Some-college,10,?,0,0,United-States
21,Some-college,10,Prof-specialty,0,0,United-States
21,Some-college,10,Adm-clerical,0,0,United-States
21,Assoc-acdm,12,Prof-specialty,0,0,United-States
21,HS-grad,9,Handlers-cleaners,0,0,United-States
