Party,VoterID
Republican ,15566
Democratic,18539
Republican ,9461
Republican ,17439
Republican ,16699
Democratic,6940
Democratic,17331
Republican ,19707
Republican ,15059
Republican ,10692
Republican ,17220
Republican ,2539
Democratic,8288
Republican ,16234
Republican ,12685
Republican ,11609
Democratic,18404
Republican ,7927
Democratic,79
Republican ,222
Republican ,9982
Republican ,12757
Republican ,2777
Democratic,2498
Republican ,8109
Republican ,9805
Democratic,8838
Republican ,18100
Democratic,9169
Democratic,4170
Democratic,1581
Democratic,9359
Democratic,16023
Republican ,18781
Democratic,12910
Republican ,15882
Democratic,5719
Democratic,11905
Democratic,1153
Republican ,15070
Republican ,19699
Democratic,9661
Republican ,18126
Democratic,10735
Republican ,4276
Democratic,1352
Republican ,8920
Democratic,4674
Democratic,10604
Republican ,9068
Republican ,747
Democratic,212
Democratic,8773
Republican ,7666
Democratic,11098
Republican ,8539
Republican ,14098
Republican ,17705
Democratic,18881
Republican ,7351
Democratic,15549
Republican ,7285
Democratic,6517
Democratic,2869
Republican ,15477
Democratic,12503
Republican ,3564
Republican ,4279
Democratic,13717
Republican ,4419
Republican ,16869
Republican ,14742
Republican ,7910
Democratic,18444
Republican ,15858
Democratic,6845
Republican ,18877
Democratic,12073
Republican ,8047
Republican ,12939
Democratic,19967
Republican ,4911
Republican ,18920
Democratic,12035
Republican ,14133
Democratic,13445
Democratic,10491
Republican ,11980
Democratic,9489
Democratic,11051
Republican ,12465
Republican ,1346
Democratic,16329
Democratic,11858
Democratic,7402
Republican ,7783
Republican ,425
Republican ,1317
Republican ,15917
Republican ,390
Republican ,9577
Republican ,13863
Democratic,5761
Democratic,17743
Democratic,11445
Republican ,8437
Republican ,7039
Republican ,1903
Democratic,17694
Democratic,9953
Democratic,17844
Republican ,705
Republican ,7879
Democratic,16734
Democratic,15699
Republican ,9119
Democratic,2964
Republican ,12450
Democratic,12647
Republican ,5779
Democratic,11507
Democratic,9924
Republican ,14089
Republican ,1256
Republican ,10243
Republican ,6707
Democratic,18762
Democratic,16901
Democratic,16299
Republican ,1206
Republican ,15002
Republican ,14151
Republican ,7257
Republican ,7184
Republican ,12158
Republican ,14853
Democratic,7189
Democratic,16982
Republican ,2531
Republican ,6582
Democratic,5874
Republican ,5646
Republican ,18884
Republican ,19055
Republican ,3033
Republican ,231
Republican ,10605
Republican ,12652
Democratic,2761
Republican ,6160
Democratic,13986
Republican ,1952
Republican ,5685
Democratic,18777
Democratic,18732
Republican ,3370
Republican ,14256
Republican ,13680
Democratic,9006
Democratic,12938
Republican ,17571
Democratic,9244
Republican ,1046
Republican ,8432
Democratic,19194
Democratic,16017
Democratic,1598
Democratic,5248
Democratic,16803
Republican ,5301
Democratic,4975
Republican ,2243
Democratic,5459
Democratic,17158
Republican ,19030
Republican ,5316
Democratic,15453
Democratic,5807
Democratic,3139
Republican ,2723
Democratic,9165
Democratic,15526
Republican ,17555
Democratic,14355
Democratic,7106
Democratic,14647
Democratic,18032
Democratic,11289
Democratic,16344
Democratic,12675
Democratic,9062
Democratic,17942
Democratic,9974
Republican ,8783
Republican ,19019
Republican ,7427
Republican ,5407
Republican ,16073
Republican ,451
Republican ,1497
Democratic,15041
Republican ,19350
Democratic,1311
Republican ,16984
Republican ,14566
Democratic,8443
Republican ,219
Democratic,17157
Republican ,16865
Democratic,11779
Democratic,5758
Democratic,2652
Republican ,18127
Republican ,5173
Democratic,13368
Democratic,1670
Democratic,10320
Democratic,9081
Democratic,17538
Republican ,12120
Democratic,17001
Republican ,12790
Democratic,4498
Democratic,19422
Republican ,10239
Democratic,19928
Republican ,1643
Republican ,3404
Republican ,4672
Republican ,5051
Democratic,173
Republican ,1787
Republican ,12812
Republican ,17252
Democratic,2470
Republican ,11038
Democratic,10034
Democratic,4133
Democratic,18602
Republican ,11955
Republican ,18740
Democratic,14793
Republican ,1721
Republican ,2787
Democratic,4131
Democratic,8799
Republican ,8513
Republican ,6105
Republican ,19605
Republican ,14599
Democratic,5162
Democratic,10158
Republican ,19157
Democratic,10018
Republican ,17521
Republican ,15973
Republican ,5470
Democratic,7115
Democratic,7112
Republican ,16607
Democratic,1163
Republican ,2406
Democratic,15702
Republican ,3044
Republican ,8298
Democratic,19266
Republican ,19791
Republican ,2411
Democratic,11817
Republican ,14432
Republican ,4247
Democratic,13921
Republican ,16893
Republican ,11834
Democratic,3950
Republican ,8192
Democratic,13798
Republican ,17489
Republican ,19996
Democratic,13584
Republican ,11314
Republican ,13162
Democratic,17807
Democratic,13855
Republican ,13122
Republican ,16003
Republican ,13755
Republican ,15502
Democratic,14473
Republican ,10662
Republican ,3780
Republican ,9490
Republican ,15567
Republican ,17574
Democratic,7440
Republican ,5707
Democratic,8729
Republican ,6581
Democratic,4810
Democratic,432
Democratic,335
Democratic,8600
Democratic,6956
Democratic,17203
Republican ,15131
Republican ,10184
Democratic,4479
Democratic,17543
Democratic,13948
Republican ,14590
Democratic,17409
Democratic,12204
Democratic,17236
Democratic,5017
Democratic,19015
Democratic,17367
Republican ,3712
Republican ,17408
Democratic,16063
Democratic,13817
Democratic,8929
Republican ,12049
Republican ,15495
Democratic,14840
Republican ,15986
Republican ,1710
Democratic,9651
Democratic,4240
Republican ,19777
Republican ,19483
Republican ,10833
Republican ,1548
Republican ,19020
Republican ,10298
Republican ,2542
Republican ,5055
Republican ,7198
Republican ,6954
Democratic,6558
Republican ,1521
Republican ,13737
Democratic,11868
Republican ,19231
Democratic,1792
Democratic,12495
Republican ,15902
Republican ,15292
Republican ,12000
Republican ,16446
Democratic,8305
Republican ,14067
Democratic,621
Republican ,15700
Democratic,217
Democratic,2372
Republican ,2657
Republican ,18457
Republican ,6867
Republican ,9614
Republican ,17967
Democratic,11293
Republican ,9561
Republican ,15435
Republican ,15185
Democratic,3224
Democratic,2815
Democratic,11442
Democratic,3482
Republican ,18371
Democratic,18024
Democratic,13186
Republican ,15774
Democratic,5305
Democratic,15246
Democratic,10623
Democratic,11708
Democratic,15946
Republican ,13431
Democratic,5335
Democratic,9796
Republican ,12525
Democratic,19770
Democratic,18363
Democratic,5757
Republican ,11906
Republican ,8557
Republican ,14750
Republican ,4639
Republican ,8899
Democratic,18480
Democratic,18787
Democratic,4938
Republican ,17269
Democratic,1076
Republican ,2733
Democratic,4764
Democratic,5249
Republican ,6006
Republican ,5059
Republican ,16280
Republican ,11637
Democratic,17716
