IDN,AGE,COUNTRY,GENDER,IMMIGRANT,INCOME,HAPPINESS
88364,29,Kyrgyzstan,Male,0,103305,8.35
37692,41,Afghanistan,Male,0,51682,4.44
57856,20,Azerbaijan,Female,0,72381,6.24
49453,62,South Korea,Female,0,65658,5.66
93485,63,Jordan,Female,1,109581,3.17
97976,36,Congo-Kinshasa,Female,0,112432,9.43
92908,63,Jamaica,Male,0,108084,9.70
77875,47,Cambodia,Female,0,91709,7.52
62801,31,Moldova,Male,0,78484,6.35
99230,52,Kenya,Female,0,113478,9.59
80115,59,United Arab Emirates,Male,0,97028,8.65
94288,62,Ecuador,Male,0,110123,9.69
28146,54,Denmark,Female,1,46475,8.23
86809,49,Malaysia,Female,0,102415,8.55
20510,36,New Zealand,Female,0,37686,3.38
50000,51,Armenia,Male,0,64167,5.55
92620,28,Slovenia,Male,1,109210,3.82
26406,21,Gabon,Female,0,40501,3.23
47948,27,Lebanon,Female,0,62808,5.31
87845,33,Netherlands,Female,0,105369,8.39
38470,33,Thailand,Male,0,54664,4.36
54533,38,South Africa,Male,0,69381,5.42
45770,51,Qatar,Female,0,62407,5.55
18207,60,Norway,Female,0,35671,2.61
29834,21,Somaliland region,Male,0,44499,3.23
17882,27,India,Male,0,32422,2.28
20522,43,France,Male,0,37043,3.45
46272,57,Spain,Female,0,62384,5.61
17360,66,Libya,Male,0,32538,2.67
29478,35,Tunisia,Female,0,44074,3.37
29789,60,Belgium,Female,0,46553,3.62
88855,40,Ukraine,Female,0,103754,8.46
58331,62,Kosovo,Female,0,73316,6.66
15759,22,Russia,Female,0,31055,2.23
70265,29,Qatar,Female,0,86866,7.34
27703,49,Cambodia,Male,0,41749,3.51
63064,67,Mexico,Female,0,80063,6.71
25932,46,Portugal,Female,0,40916,3.48
87363,39,Nicaragua,Male,0,102742,8.45
70226,48,Bahrain,Female,0,85301,7.53
11945,39,Portugal,Female,0,26914,2.40
39507,40,France,Female,0,56086,4.43
52224,50,Poland,Female,0,68041,5.54
59255,57,Netherlands,Female,0,76797,6.61
66772,49,Comoros,Male,0,80378,6.53
40831,61,Greece,Male,0,56026,4.64
95570,47,Malta,Male,1,111774,2.48
52871,19,Zambia,Female,0,67705,5.23
93363,40,Bosnia and Herzegovina,Female,0,108142,9.47
43706,33,Greece,Female,0,59040,4.36
33463,60,Armenia,Male,0,47727,3.62
79936,30,Japan,Female,0,95928,7.35
78398,62,Singapore,Male,1,95543,8.70
66961,39,United Kingdom,Male,0,83770,6.43
77017,67,Sweden,Male,0,94286,7.72
75003,66,Central African Republic,Male,0,88521,7.71
79440,27,Kosovo,Male,0,94570,7.32
82688,54,China,Female,0,97657,8.60
16810,24,Guinea,Male,0,30438,2.25
17318,63,Guatemala,Female,0,33054,2.64
83819,19,Bahrain,Male,0,98973,8.25
88535,52,Somaliland region,Female,0,103343,8.58
18210,28,Austria,Female,1,36130,7.62
67510,40,Dominican Republic,Female,0,82219,6.44
84988,63,United States,Female,1,102264,4.72
95525,29,Venezuela,Male,0,112526,9.36
68514,57,Denmark,Female,0,86226,7.62
18391,67,Denmark,Male,0,35920,2.68
24375,44,Hong Kong,Male,0,39857,3.46
70811,25,Ghana,Female,0,85639,7.30
74811,36,Uzbekistan,Male,0,90337,7.41
67419,49,Libya,Male,0,82685,6.53
38669,43,Yemen,Female,0,52610,4.46
23315,59,Croatia,Male,0,38918,3.61
54202,40,Russia,Male,1,70201,5.93
84902,53,Somaliland region,Male,0,99561,8.59
45335,31,New Zealand,Female,0,62528,5.35
60369,59,Mexico,Male,0,77482,6.63
32052,41,Venezuela,Male,0,48892,4.44
43148,69,Bosnia and Herzegovina,Male,0,57758,4.72
43777,27,Luxembourg,Female,0,60657,5.31
87631,53,Uganda,Female,1,102580,2.44
49202,56,Kyrgyzstan,Male,0,64233,5.60
45120,58,United States,Female,0,62162,5.62
69834,28,Lebanon,Male,1,85134,5.52
22797,23,Benin,Male,0,36174,3.25
10544,18,Central African Republic,Female,0,24027,2.19
85034,22,Cameroon,Female,0,99380,8.28
83158,29,Libya,Male,0,98269,8.35
79385,70,Liberia,Male,1,93826,5.80
27891,65,Uruguay,Male,0,44029,3.67
32365,47,Nigeria,Male,0,47419,3.49
58880,40,Chile,Female,0,75209,6.44
85164,44,Syria,Male,0,98906,8.50
15058,40,Brazil,Male,0,31887,2.41
71726,50,Kosovo,Male,0,86693,7.55
45767,66,Cameroon,Female,0,59995,4.69
52794,21,Burundi,Male,0,66359,5.25
90811,46,Lithuania,Female,0,106225,8.52
16300,29,Luxembourg,Male,0,33261,2.30
82084,51,Mongolia,Female,0,96661,8.57
50939,58,Paraguay,Male,0,66651,5.62
48851,47,Uruguay,Female,1,65295,9.60
14028,67,Somaliland region,Female,0,28717,2.68
45851,30,Oman,Female,1,63183,2.20
92469,57,Nigeria,Female,0,107511,8.63
11368,70,Armenia,Male,0,25729,2.71
46379,55,Angola,Male,0,61779,5.59
40870,32,Panama,Male,0,57833,4.35
75169,52,Guinea,Female,0,88807,7.57
44928,53,Ecuador,Male,0,60787,5.57
52311,40,Djibouti,Female,0,66900,5.44
52212,60,Hong Kong,Male,1,68346,6.54
55318,29,El Salvador,Male,0,70869,5.33
57260,65,Yemen,Male,0,71338,5.69
39512,23,Guatemala,Female,0,55449,4.26
60791,22,North Cyprus,Male,0,76057,6.26
10271,20,Uzbekistan,Female,0,25876,2.21
78556,37,North Cyprus,Female,0,93853,7.42
81258,25,Kenya,Female,0,95596,7.30
61480,29,Costa Rica,Female,0,78691,6.33
82124,68,Switzerland,Female,1,100244,6.48
99766,29,Comoros,Male,0,113467,9.36
89355,37,Swaziland,Male,0,104252,8.43
30226,19,Australia,Female,0,47420,3.21
21091,22,Senegal,Female,0,34847,2.23
22902,67,Sudan,Male,0,37121,3.69
22360,59,Philippines,Female,0,37353,3.61
