"IDN","COUNTRY","HAPPINESS"
88364,"Kyrgyzstan",8.35
37692,"Afghanistan",4.44
57856,"Azerbaijan",6.24
49453,"South Korea",5.66
93485,"Jordan",3.17
97976,"Congo-Kinshasa",9.43
92908,"Jamaica",9.7
77875,"Cambodia",7.52
62801,"Moldova",6.35
99230,"Kenya",9.59
80115,"United Arab Emirates",8.65
94288,"Ecuador",9.69
28146,"Denmark",8.23
86809,"Malaysia",8.55
20510,"New Zealand",3.38
50000,"Armenia",5.55
92620,"Slovenia",3.82
26406,"Gabon",3.23
47948,"Lebanon",5.31
87845,"Netherlands",8.39
38470,"Thailand",4.36
54533,"South Africa",5.42
45770,"Qatar",5.55
18207,"Norway",2.61
29834,"Somaliland region",3.23
17882,"India",2.28
20522,"France",3.45
46272,"Spain",5.61
17360,"Libya",2.67
29478,"Tunisia",3.37
29789,"Belgium",3.62
88855,"Ukraine",8.46
58331,"Kosovo",6.66
15759,"Russia",2.23
70265,"Qatar",7.34
27703,"Cambodia",3.51
63064,"Mexico",6.71
25932,"Portugal",3.48
87363,"Nicaragua",8.45
70226,"Bahrain",7.53
11945,"Portugal",2.4
39507,"France",4.43
52224,"Poland",5.54
59255,"Netherlands",6.61
66772,"Comoros",6.53
40831,"Greece",4.64
95570,"Malta",2.48
52871,"Zambia",5.23
93363,"Bosnia and Herzegovina",9.47
43706,"Greece",4.36
33463,"Armenia",3.62
79936,"Japan",7.35
78398,"Singapore",8.7
66961,"United Kingdom",6.43
77017,"Sweden",7.72
75003,"Central African Republic",7.71
79440,"Kosovo",7.32
82688,"China",8.6
16810,"Guinea",2.25
17318,"Guatemala",2.64
83819,"Bahrain",8.25
88535,"Somaliland region",8.58
18210,"Austria",7.62
67510,"Dominican Republic",6.44
84988,"United States",4.72
95525,"Venezuela",9.36
68514,"Denmark",7.62
18391,"Denmark",2.68
24375,"Hong Kong",3.46
70811,"Ghana",7.3
74811,"Uzbekistan",7.41
67419,"Libya",6.53
38669,"Yemen",4.46
23315,"Croatia",3.61
54202,"Russia",5.93
84902,"Somaliland region",8.59
45335,"New Zealand",5.35
60369,"Mexico",6.63
32052,"Venezuela",4.44
43148,"Bosnia and Herzegovina",4.72
43777,"Luxembourg",5.31
87631,"Uganda",2.44
49202,"Kyrgyzstan",5.6
45120,"United States",5.62
69834,"Lebanon",5.52
22797,"Benin",3.25
10544,"Central African Republic",2.19
85034,"Cameroon",8.28
83158,"Libya",8.35
79385,"Liberia",5.8
27891,"Uruguay",3.67
32365,"Nigeria",3.49
58880,"Chile",6.44
85164,"Syria",8.5
15058,"Brazil",2.41
71726,"Kosovo",7.55
45767,"Cameroon",4.69
52794,"Burundi",5.25
90811,"Lithuania",8.52
16300,"Luxembourg",2.3
82084,"Mongolia",8.57
50939,"Paraguay",5.62
48851,"Uruguay",9.6
14028,"Somaliland region",2.68
45851,"Oman",2.2
92469,"Nigeria",8.63
11368,"Armenia",2.71
46379,"Angola",5.59
40870,"Panama",4.35
75169,"Guinea",7.57
44928,"Ecuador",5.57
52311,"Djibouti",5.44
52212,"Hong Kong",6.54
55318,"El Salvador",5.33
57260,"Yemen",5.69
39512,"Guatemala",4.26
60791,"North Cyprus",6.26
10271,"Uzbekistan",2.21
78556,"North Cyprus",7.42
81258,"Kenya",7.3
61480,"Costa Rica",6.33
82124,"Switzerland",6.48
99766,"Comoros",9.36
89355,"Swaziland",8.43
30226,"Australia",3.21
21091,"Senegal",2.23
22902,"Sudan",3.69
22360,"Philippines",3.61
39443,"Uzbekistan",4.66
84529,"Switzerland",8.52
75974,"Belgium",7.32
80492,"Nicaragua",7.73
10629,"Croatia",6.22
33162,"Panama",4.44
29516,"Bahrain",3.29
73783,"El Salvador",7.31
49356,"Vietnam",5.64
23830,"Syria",3.47
27855,"China",3.41
21465,"Nigeria",3.32
66372,"Vietnam",6.3
84464,"Philippines",8.54
66546,"United Arab Emirates",9.57
44147,"Botswana",4.47
41644,"Benin",4.23
81594,"Montenegro",8.68
13615,"Spain",2.56
72734,"Montenegro",7.3
27958,"Zambia",3.24
51857,"Mauritius",5.58
53196,"Italy",5.46
83715,"Uruguay",8.58
80980,"Morocco",7.44
38824,"Hungary",4.48
92611,"Mozambique",8.24
73034,"Tunisia",7.69
22432,"Congo-Brazzaville",3.4
51605,"Panama",5.63
81908,"Kazakhstan",8.67
52930,"Malta",5.57
28663,"Botswana",3.41
73278,"Taiwan",7.33
36785,"Turkey",4.69
46089,"Nepal",5.48
92048,"Denmark",9.28
82008,"Luxembourg",8.47
79420,"Uzbekistan",7.67
95260,"South Korea",9.51
80784,"Taiwan",8.28
29405,"Benin",3.71
28929,"Lesotho",3.29
50524,"Gabon",5.61
28209,"Hong Kong",3.43
75519,"Paraguay",7.35
36852,"Sri Lanka",4.43
41972,"Nicaragua",4.53
85711,"Portugal",8.36
65769,"Lithuania",6.41
43222,"Czech Republic",4.28
28361,"Ghana",3.66
76359,"Philippines",7.75
91237,"Greece",8.75
19542,"Zimbabwe",2.36
44230,"Egypt",4.72
58336,"Laos",6.25
82182,"Tanzania",7.54
74767,"Georgia",7.32
54483,"Malawi",5.42
