Beer,Day,Location,SoftDrinks,Sweets,Wine,Snacks
Lager,Weekend,Edison,Sprite,Snickers,White,None
None,Weekday,New Brunswick,Orange  Juice,Milky Way,White,Potato Chips
None,Weekend,New Brunswick,None,Milky Way,White,None
Lager,Weekend,Princeton,Orange  Juice,Snickers,White,Pretzels
Lager,Weekend,Edison,Cola,Milky Way,Red,None
Ale,Weekday,New Brunswick,Sprite,Snickers,White,None
None,Weekend,Metuchen,Orange  Juice,Twix,None,Popcorn
Lager,Weekend,New Brunswick,Sprite,Milky Way,Red,Potato Chips
Ale,Weekend,Metuchen,None,Snickers,None,Popcorn
Lager,Weekend,New Brunswick,None,Snickers,White,Potato Chips
Lager,Weekend,Princeton,Cola,Milky Way,White,Pretzels
Lager,Weekend,Edison,Orange  Juice,Milky Way,White,Popcorn
Lager,Weekend,Edison,Orange  Juice,Twix,None,None
None,Weekend,Princeton,None,Milky Way,White,None
None,Weekday,Princeton,Cola,Milky Way,None,Popcorn
Lager,Weekend,Metuchen,Sprite,Snickers,White,Pretzels
Lager,Weekend,Edison,Sprite,Twix,Red,None
Ale,Weekend,Edison,Sprite,Milky Way,Red,Potato Chips
None,Weekday,Edison,Sprite,Milky Way,Red,None
Lager,Weekend,New Brunswick,None,Milky Way,Red,Popcorn
Lager,Weekend,New Brunswick,Orange  Juice,Milky Way,White,Crackers
Lager,Weekday,Princeton,Cola,Milky Way,White,Potato Chips
Ale,Weekend,Metuchen,Orange  Juice,Twix,White,None
Lager,Weekend,Metuchen,Orange  Juice,Twix,White,None
Ale,Weekday,New Brunswick,Cola,Snickers,None,None
None,Weekday,Princeton,Sprite,Snickers,Red,None
None,Weekend,Princeton,Sprite,Snickers,None,None
None,Weekend,New Brunswick,Orange  Juice,Snickers,None,None
None,Weekday,Princeton,Sprite,Milky Way,None,None
Lager,Weekday,Princeton,Cola,Snickers,White,None
Ale,Weekend,Edison,Cola,Snickers,None,Popcorn
Ale,Weekday,Edison,Orange  Juice,Twix,None,Pretzels
Ale,Weekend,New Brunswick,Cola,Twix,None,None
None,Weekday,Metuchen,None,Twix,Red,Popcorn
Lager,Weekend,Edison,None,Twix,White,None
Lager,Weekend,Edison,Sprite,Milky Way,None,Crackers
None,Weekend,Edison,Sprite,Snickers,White,Pretzels
None,Weekend,Edison,None,Milky Way,White,Popcorn
None,Weekend,Princeton,Orange  Juice,Twix,White,Potato Chips
None,Weekday,Princeton,None,Twix,None,None
None,Weekend,Metuchen,None,Twix,Red,Potato Chips
Lager,Weekend,Princeton,Sprite,Twix,None,None
None,Weekend,Princeton,Sprite,Milky Way,White,None
Lager,Weekend,Edison,Cola,Snickers,White,None
None,Weekday,New Brunswick,Cola,Twix,White,None
Lager,Weekend,Edison,Orange  Juice,Snickers,Red,None
Lager,Weekday,Edison,None,Twix,White,None
Lager,Weekend,Princeton,Cola,Twix,Red,Popcorn
Ale,Weekend,New Brunswick,None,Snickers,Red,Pretzels
None,Weekend,Princeton,None,Snickers,White,None
Ale,Weekday,Metuchen,Sprite,Milky Way,White,None
Ale,Weekday,Princeton,None,Milky Way,White,None
None,Weekend,Metuchen,None,Twix,Red,Pretzels
None,Weekday,Metuchen,Cola,Milky Way,Red,None
Ale,Weekend,Edison,Sprite,Snickers,Red,Crackers
Ale,Weekend,New Brunswick,Sprite,Snickers,None,Potato Chips
Ale,Weekday,Princeton,Sprite,Snickers,White,None
None,Weekday,Edison,None,Twix,Red,None
None,Weekday,New Brunswick,Sprite,Milky Way,None,None
Lager,Weekend,Princeton,Sprite,Snickers,Red,None
