SchoolRank,Income,Tuition,SAT,GPA
91,24974.15354,15000,507,1.405403537
72,73909.11418,24500,742,3
28,181666.8603,46500,1268,4
82,46319.4591,19500,612,1.87161418
30,177034.2145,45500,1246,2.141860321
24,190518.9455,48500,1307,2.094459096
17,208535.8338,52000,1396,2.046714547
24,191422.3325,48500,1315,3
11,223372.9112,55000,1470,1.950195478
93,19728.80844,14000,482,4
11,221769.0587,55000,1463,2.61083378
87,33821.3682,17000,551,1.203582498
80,53430.91495,20500,643,3
33,168234.2202,44000,1201,1.185411181
84,41065.85601,18500,586,4
10,226920.3696,55500,1486,3
100,3673.029856,10500,403,1.316308443
86,38654.0406,17500,573,4
6,235438.6135,57500,1526,2.0253087
68,81993.44563,26500,785,3
32,172370.1377,44500,1222,4
55,113245.3519,33000,935,2.177618204
21,197416.3461,50000,1345,4
11,224239.4248,55000,1471,1.812164949
63,93448.08568,29000,840,1.527970165
79,53897.15412,21000,647,4
64,93097.76359,28500,836,2.203356006
88,32822.35563,16500,547,3
71,74243.4874,25000,743,3
79,54431.62015,21000,647,1.432869569
24,192158.8886,48500,1315,3
45,139155.8324,38000,1059,1.554279856
98,7077.496403,11500,418,3
49,128632.4848,36000,1011,4
67,84942.43486,27000,795,3
11,222683.4699,55000,1465,1.472790604
13,219365.045,54000,1448,1.701113483
49,129924.8153,36000,1013,2.087195632
19,203797.6914,51000,1372,4
84,42439.01128,18500,593,1.332637743
25,188733.2322,48000,1302,4
90,28449.12706,15500,523,4
37,158327.1888,42000,1154,3
12,222163.5629,54500,1461,1.401601851
44,141111.2482,38500,1071,4
45,138596.8021,38000,1057,2.010096057
60,101594.0159,30500,879,3
35,163485.9234,43000,1177,3
66,86985.0692,27500,806,2.845674763
43,143711.3259,39000,1082,4
34,165526.4219,43500,1188,1.198085675
42,145673.1318,39500,1090,3
97,10105.14322,12000,433,3
91,24981.32083,15000,507,2.453404117
8,232103.6745,56500,1510,1.672763589
36,160786.9101,42500,1167,3
51,125067.2771,35000,992,4
18,204888.1552,51500,1381,4
81,51026.44486,20000,631,4
94,16974.00862,13500,469,1.003605627
