Studentid,Attendance,Major,Questions,Score,Seniority,Texting
39574,15,Stat,Always,84,Sophomore,Always
39575,48,Cs,Always,96,Freshman,Rarely
39576,27,Polsci,Always,34,Senior,Rarely
39577,25,Cs,Always,3,Senior,Always
39578,96,Cs,Always,41,Sophomore,Always
39579,17,Polsci,Always,68,Junior,Rarely
39580,74,Polsci,Always,97,Sophomore,Rarely
39581,13,Communication,Rarely,31,Senior,Always
39582,33,Polsci,Always,50,Sophomore,Always
39583,96,Communication,Always,54,Sophomore,Always
39584,85,Communication,Rarely,25,Senior,Always
39585,89,Communication,Rarely,15,Senior,Rarely
39586,71,Cs,Always,88,Freshman,Always
39587,71,Communication,Rarely,27,Senior,Always
39588,7,Communication,Always,69,Senior,Always
39589,62,Communication,Always,39,Senior,Rarely
39590,83,Communication,Rarely,46,Junior,Always
39591,93,Communication,Rarely,1,Freshman,Rarely
39592,15,Stat,Rarely,85,Freshman,Always
39593,12,Communication,Always,62,Freshman,Rarely
39594,66,Cs,Always,39,Freshman,Always
39595,88,Communication,Rarely,7,Sophomore,Rarely
39596,44,Communication,Rarely,10,Freshman,Rarely
39597,7,Communication,Always,44,Sophomore,Always
39598,56,Stat,Always,56,Junior,Always
39599,29,Polsci,Always,85,Junior,Rarely
39600,58,Cs,Rarely,70,Junior,Rarely
39601,40,Cs,Rarely,87,Freshman,Always
39602,2,Communication,Always,61,Freshman,Always
39603,46,Cs,Always,18,Sophomore,Always
39604,78,Cs,Always,14,Sophomore,Rarely
39605,10,Communication,Always,70,Junior,Always
39606,8,Communication,Always,92,Senior,Rarely
39607,92,Stat,Always,49,Junior,Always
39608,1,Stat,Rarely,20,Freshman,Rarely
39609,0,Polsci,Always,55,Senior,Rarely
39610,33,Cs,Always,80,Senior,Rarely
39611,77,Cs,Rarely,77,Senior,Always
39612,62,Stat,Always,87,Junior,Rarely
39613,29,Polsci,Always,75,Freshman,Rarely
39614,97,Stat,Rarely,3,Sophomore,Always
39615,99,Cs,Rarely,75,Freshman,Rarely
39616,37,Polsci,Always,57,Senior,Rarely
39617,95,Polsci,Rarely,67,Senior,Always
39618,25,Polsci,Always,91,Sophomore,Rarely
39619,61,Stat,Rarely,7,Freshman,Always
39620,13,Communication,Always,21,Freshman,Rarely
39621,34,Stat,Always,15,Junior,Always
39622,62,Cs,Rarely,59,Junior,Always
39623,41,Polsci,Rarely,99,Sophomore,Rarely
39624,86,Communication,Always,79,Sophomore,Rarely
39625,22,Stat,Rarely,100,Sophomore,Always
39626,86,Communication,Always,75,Freshman,Rarely
39627,41,Communication,Rarely,15,Junior,Rarely
39628,74,Communication,Always,90,Freshman,Rarely
39629,7,Cs,Always,30,Senior,Rarely
39630,38,Stat,Rarely,88,Freshman,Always
39631,87,Polsci,Rarely,63,Freshman,Rarely
39632,27,Communication,Rarely,30,Junior,Always
39633,78,Communication,Rarely,65,Senior,Rarely
39634,57,Polsci,Rarely,69,Freshman,Rarely
39635,79,Communication,Always,50,Sophomore,Always
39636,64,Communication,Rarely,18,Junior,Rarely
39637,7,Cs,Always,7,Senior,Rarely
39638,100,Communication,Rarely,80,Freshman,Always
39639,4,Communication,Always,41,Senior,Always
39640,24,Cs,Rarely,20,Senior,Rarely
39641,92,Stat,Rarely,97,Senior,Always
39642,88,Stat,Always,69,Senior,Always
39643,69,Communication,Rarely,15,Freshman,Always
39644,86,Polsci,Rarely,56,Senior,Rarely
39645,81,Stat,Always,78,Senior,Always
39646,76,Cs,Rarely,100,Sophomore,Always
39647,58,Polsci,Rarely,100,Sophomore,Rarely
39648,3,Polsci,Always,81,Senior,Always
39649,67,Cs,Rarely,8,Sophomore,Always
39650,77,Cs,Always,31,Senior,Rarely
39651,42,Polsci,Always,12,Junior,Rarely
39652,7,Cs,Rarely,12,Senior,Always
39653,29,Cs,Rarely,87,Sophomore,Always
39654,54,Communication,Always,71,Senior,Always
39655,54,Communication,Rarely,7,Senior,Rarely
39656,57,Stat,Rarely,63,Sophomore,Always
39657,71,Communication,Always,48,Junior,Rarely
39658,28,Polsci,Rarely,5,Freshman,Always
39659,9,Communication,Always,85,Junior,Always
39660,82,Polsci,Always,46,Freshman,Always
39661,74,Stat,Always,98,Senior,Always
39662,25,Communication,Rarely,50,Junior,Always
39663,24,Communication,Rarely,15,Freshman,Rarely
39664,33,Cs,Always,66,Freshman,Rarely
39665,30,Communication,Always,32,Junior,Rarely
39666,87,Stat,Rarely,20,Freshman,Rarely
39667,94,Cs,Always,34,Sophomore,Always
39668,84,Communication,Rarely,14,Freshman,Rarely
39669,85,Polsci,Always,32,Freshman,Rarely
39670,34,Polsci,Rarely,5,Sophomore,Always
39671,30,Polsci,Rarely,29,Junior,Always
39672,20,Cs,Always,6,Senior,Rarely
39673,20,Cs,Rarely,67,Freshman,Rarely
39674,50,Stat,Always,68,Sophomore,Always
39675,56,Polsci,Always,26,Freshman,Always
39676,43,Stat,Rarely,37,Junior,Rarely
39677,65,Polsci,Always,6,Junior,Always
39678,23,Polsci,Rarely,73,Junior,Rarely
39679,33,Communication,Always,16,Senior,Rarely
39680,100,Cs,Always,60,Junior,Rarely
39681,36,Communication,Rarely,65,Sophomore,Always
39682,30,Communication,Always,16,Junior,Rarely
39683,47,Cs,Rarely,32,Freshman,Always
39684,59,Stat,Always,22,Junior,Always
39685,100,Polsci,Always,10,Freshman,Always
39686,18,Cs,Always,8,Junior,Always
39687,47,Communication,Always,48,Junior,Always
39688,45,Polsci,Always,65,Junior,Always
39689,92,Communication,Always,84,Freshman,Rarely
39690,19,Polsci,Always,30,Junior,Always
39691,11,Cs,Always,89,Junior,Rarely
39692,33,Cs,Always,28,Sophomore,Rarely
39693,27,Polsci,Always,15,Senior,Rarely
39694,76,Stat,Always,96,Junior,Rarely
39695,40,Polsci,Rarely,10,Freshman,Rarely
39696,52,Stat,Always,10,Sophomore,Always
39697,78,Communication,Rarely,100,Sophomore,Always
39698,92,Communication,Always,51,Junior,Always
39699,80,Polsci,Always,71,Senior,Always
39700,81,Cs,Rarely,11,Junior,Always
39701,42,Communication,Rarely,68,Senior,Rarely
39702,60,Communication,Rarely,75,Freshman,Rarely
39703,42,Cs,Rarely,57,Junior,Rarely
39704,81,Cs,Rarely,49,Senior,Rarely
39705,28,Cs,Always,44,Freshman,Always
39706,12,Polsci,Rarely,26,Freshman,Always
39707,46,Cs,Always,21,Sophomore,Always
39708,85,Communication,Rarely,38,Freshman,Rarely
39709,23,Polsci,Always,39,Senior,Always
39710,81,Polsci,Always,53,Freshman,Always
39711,32,Stat,Rarely,79,Freshman,Always
39712,29,Communication,Rarely,61,Senior,Rarely
39713,71,Cs,Always,59,Freshman,Rarely
39714,46,Cs,Rarely,5,Freshman,Always
39715,77,Stat,Always,16,Sophomore,Always
39716,36,Polsci,Always,77,Junior,Always
39717,91,Communication,Rarely,31,Senior,Rarely
39718,84,Polsci,Rarely,85,Senior,Always
39719,94,Stat,Rarely,57,Sophomore,Always
39720,98,Communication,Always,11,Senior,Rarely
39721,64,Communication,Always,41,Freshman,Rarely
39722,55,Stat,Rarely,39,Senior,Rarely
39723,43,Cs,Always,23,Junior,Rarely
39724,88,Cs,Always,18,Freshman,Rarely
39725,23,Polsci,Always,79,Sophomore,Rarely
39726,36,Communication,Always,91,Freshman,Always
39727,25,Communication,Rarely,23,Sophomore,Always
39728,39,Stat,Rarely,28,Junior,Always
39729,26,Communication,Rarely,24,Junior,Rarely
39730,25,Polsci,Always,54,Sophomore,Rarely
39731,17,Cs,Always,84,Sophomore,Rarely
39732,3,Polsci,Always,84,Freshman,Always
39733,80,Stat,Rarely,57,Senior,Always
39734,19,Communication,Rarely,84,Sophomore,Rarely
39735,37,Communication,Rarely,6,Senior,Rarely
39736,16,Cs,Always,21,Freshman,Always
39737,41,Stat,Rarely,6,Sophomore,Rarely
39738,79,Communication,Rarely,70,Freshman,Rarely
39739,27,Cs,Always,3,Freshman,Rarely
39740,12,Cs,Always,100,Sophomore,Rarely
39741,58,Cs,Always,36,Sophomore,Rarely
39742,95,Stat,Rarely,66,Freshman,Rarely
39743,39,Polsci,Rarely,15,Sophomore,Rarely
39744,60,Stat,Rarely,63,Freshman,Always
39745,24,Cs,Rarely,55,Sophomore,Rarely
39746,12,Stat,Rarely,57,Sophomore,Always
39747,1,Communication,Always,70,Freshman,Rarely
39748,74,Communication,Rarely,33,Senior,Rarely
39749,9,Cs,Rarely,8,Freshman,Rarely
39750,35,Stat,Rarely,62,Junior,Rarely
39751,82,Communication,Always,97,Senior,Always
39752,65,Cs,Rarely,89,Senior,Rarely
39753,46,Cs,Always,0,Senior,Always
39754,80,Communication,Rarely,10,Freshman,Always
39755,71,Stat,Rarely,12,Sophomore,Always
39756,0,Communication,Always,23,Senior,Rarely
39757,100,Polsci,Rarely,27,Freshman,Rarely
39758,82,Communication,Always,15,Freshman,Always
39759,83,Polsci,Rarely,9,Freshman,Rarely
39760,31,Stat,Always,57,Senior,Rarely
39761,27,Stat,Always,12,Sophomore,Always
39762,83,Polsci,Always,0,Sophomore,Always
39763,4,Polsci,Always,61,Freshman,Rarely
39764,57,Cs,Always,64,Junior,Rarely
39765,8,Communication,Rarely,80,Freshman,Rarely
39766,42,Polsci,Rarely,84,Sophomore,Rarely
39767,64,Stat,Always,22,Freshman,Always
39768,49,Communication,Rarely,39,Senior,Rarely
39769,42,Stat,Always,12,Freshman,Rarely
39770,16,Polsci,Always,37,Senior,Rarely
39771,86,Communication,Always,62,Senior,Rarely
39772,67,Cs,Rarely,27,Junior,Always
39773,42,Communication,Always,66,Senior,Rarely
39774,48,Cs,Rarely,37,Junior,Always
39775,70,Cs,Always,87,Freshman,Always
39776,55,Stat,Rarely,23,Senior,Always
39777,84,Cs,Always,87,Freshman,Rarely
39778,35,Stat,Rarely,40,Freshman,Rarely
39779,98,Stat,Rarely,77,Junior,Rarely
39780,35,Polsci,Always,0,Senior,Always
39781,38,Stat,Rarely,16,Sophomore,Rarely
39782,55,Polsci,Rarely,83,Junior,Rarely
39783,56,Polsci,Rarely,70,Sophomore,Rarely
39784,62,Communication,Always,100,Senior,Always
39785,99,Polsci,Rarely,39,Sophomore,Always
39786,32,Cs,Always,61,Senior,Always
39787,43,Polsci,Rarely,18,Junior,Always
39788,58,Cs,Rarely,26,Sophomore,Always
39789,10,Communication,Rarely,38,Junior,Always
39790,58,Polsci,Always,29,Freshman,Rarely
39791,68,Stat,Rarely,70,Sophomore,Rarely
39792,92,Stat,Always,46,Freshman,Rarely
39793,36,Stat,Rarely,59,Sophomore,Always
39794,95,Communication,Always,69,Freshman,Rarely
39795,83,Communication,Rarely,22,Sophomore,Rarely
39796,33,Polsci,Rarely,70,Junior,Rarely
39797,6,Communication,Always,65,Freshman,Rarely
39798,15,Communication,Always,76,Sophomore,Always
39799,48,Cs,Rarely,6,Freshman,Rarely
39800,2,Cs,Always,42,Senior,Rarely
39801,67,Cs,Always,93,Sophomore,Always
39802,10,Cs,Always,49,Freshman,Always
39803,100,Cs,Always,35,Junior,Always
39804,83,Cs,Always,67,Junior,Always
39805,46,Polsci,Rarely,54,Freshman,Always
39806,47,Stat,Always,23,Senior,Always
39807,12,Communication,Always,58,Senior,Always
39808,86,Cs,Always,96,Freshman,Always
39809,16,Communication,Rarely,36,Senior,Rarely
39810,73,Communication,Always,8,Junior,Always
39811,48,Cs,Always,6,Freshman,Always
39812,39,Polsci,Always,81,Senior,Rarely
39813,64,Communication,Always,88,Senior,Always
39814,11,Communication,Rarely,56,Junior,Always
39815,46,Stat,Rarely,21,Freshman,Always
39816,72,Stat,Always,40,Senior,Rarely
39817,57,Stat,Always,76,Sophomore,Always
39818,25,Stat,Rarely,0,Freshman,Rarely
39819,37,Stat,Rarely,96,Sophomore,Rarely
39820,91,Stat,Always,74,Freshman,Always
39821,96,Stat,Rarely,47,Sophomore,Rarely
39822,82,Stat,Always,54,Sophomore,Rarely
39823,68,Polsci,Rarely,96,Freshman,Always
39824,77,Cs,Always,4,Sophomore,Rarely
39825,55,Polsci,Always,95,Junior,Rarely
39826,81,Cs,Always,18,Senior,Rarely
39827,86,Stat,Rarely,37,Freshman,Always
39828,13,Communication,Rarely,57,Freshman,Rarely
39829,62,Communication,Always,16,Senior,Always
39830,29,Communication,Rarely,99,Senior,Always
39831,87,Communication,Always,79,Sophomore,Always
39832,86,Cs,Rarely,20,Freshman,Rarely
39833,26,Cs,Rarely,40,Sophomore,Rarely
39834,33,Communication,Rarely,76,Senior,Rarely
39835,60,Communication,Rarely,97,Senior,Rarely
39836,88,Stat,Rarely,2,Sophomore,Rarely
39837,40,Polsci,Rarely,89,Junior,Rarely
39838,48,Stat,Always,25,Freshman,Rarely
39839,70,Stat,Always,96,Senior,Always
39840,34,Stat,Always,58,Sophomore,Always
39841,3,Polsci,Rarely,0,Sophomore,Rarely
39842,19,Communication,Always,39,Sophomore,Rarely
39843,46,Polsci,Rarely,7,Sophomore,Always
39844,94,Stat,Always,23,Junior,Rarely
39845,38,Stat,Rarely,41,Freshman,Rarely
39846,16,Polsci,Rarely,36,Senior,Always
39847,21,Stat,Always,20,Junior,Always
39848,56,Cs,Rarely,96,Sophomore,Always
39849,7,Cs,Always,69,Freshman,Always
39850,52,Polsci,Always,41,Freshman,Always
39851,99,Polsci,Always,21,Junior,Rarely
39852,54,Stat,Rarely,37,Senior,Rarely
39853,22,Polsci,Rarely,86,Freshman,Rarely
39854,17,Cs,Always,93,Senior,Rarely
39855,59,Stat,Rarely,23,Junior,Always
39856,6,Stat,Rarely,46,Senior,Rarely
39857,70,Polsci,Always,97,Junior,Rarely
39858,37,Polsci,Rarely,33,Junior,Rarely
39859,60,Cs,Rarely,41,Sophomore,Always
39860,50,Polsci,Always,29,Senior,Rarely
39861,64,Polsci,Rarely,30,Senior,Always
39862,0,Stat,Rarely,10,Sophomore,Rarely
39863,35,Stat,Always,60,Senior,Always
39864,47,Stat,Always,26,Junior,Rarely
39865,33,Communication,Rarely,40,Sophomore,Always
39866,9,Communication,Always,22,Sophomore,Always
39867,92,Cs,Always,48,Freshman,Rarely
39868,10,Cs,Always,28,Sophomore,Always
39869,25,Polsci,Always,56,Sophomore,Rarely
39870,7,Communication,Always,29,Junior,Always
39871,64,Cs,Always,83,Junior,Always
39872,37,Stat,Always,92,Freshman,Always
39873,43,Stat,Always,79,Senior,Rarely
39874,44,Stat,Rarely,43,Senior,Rarely
39875,36,Stat,Always,97,Junior,Rarely
39876,76,Communication,Rarely,75,Senior,Rarely
39877,47,Cs,Always,6,Sophomore,Rarely
39878,76,Communication,Rarely,43,Freshman,Always
39879,27,Communication,Rarely,54,Senior,Always
39880,97,Cs,Always,63,Junior,Always
39881,95,Cs,Rarely,40,Sophomore,Rarely
39882,31,Cs,Rarely,36,Junior,Rarely
39883,93,Communication,Rarely,7,Sophomore,Always
39884,89,Stat,Always,70,Freshman,Always
39885,77,Cs,Rarely,24,Freshman,Always
39886,14,Communication,Rarely,68,Junior,Always
39887,25,Cs,Rarely,25,Sophomore,Rarely
39888,99,Cs,Rarely,3,Junior,Rarely
39889,20,Stat,Always,16,Senior,Always
39890,3,Communication,Always,86,Sophomore,Rarely
39891,74,Communication,Rarely,48,Sophomore,Always
39892,4,Cs,Rarely,31,Junior,Rarely
39893,36,Polsci,Always,48,Senior,Rarely
39894,21,Polsci,Always,99,Sophomore,Always
39895,71,Stat,Rarely,6,Senior,Rarely
39896,0,Communication,Always,90,Senior,Rarely
39897,45,Polsci,Rarely,12,Freshman,Always
39898,69,Stat,Always,71,Junior,Always
39899,58,Stat,Always,28,Senior,Rarely
39900,2,Stat,Rarely,67,Senior,Rarely
39901,73,Cs,Rarely,17,Senior,Rarely
39902,17,Communication,Rarely,42,Freshman,Always
39903,10,Stat,Always,34,Freshman,Always
39904,48,Polsci,Rarely,39,Senior,Rarely
39905,97,Polsci,Rarely,87,Sophomore,Always
39906,65,Cs,Rarely,19,Freshman,Rarely
39907,28,Communication,Rarely,36,Senior,Rarely
39908,81,Polsci,Rarely,44,Freshman,Rarely
39909,42,Communication,Rarely,89,Sophomore,Rarely
39910,10,Polsci,Always,16,Senior,Always
39911,55,Polsci,Rarely,27,Sophomore,Always
39912,8,Communication,Rarely,46,Sophomore,Rarely
39913,11,Stat,Always,74,Junior,Always
39914,37,Polsci,Rarely,52,Senior,Rarely
39915,77,Polsci,Always,30,Junior,Always
39916,21,Communication,Rarely,57,Senior,Always
39917,35,Cs,Always,48,Junior,Always
39918,83,Stat,Always,74,Sophomore,Rarely
39919,99,Polsci,Rarely,83,Sophomore,Always
39920,62,Cs,Rarely,93,Freshman,Rarely
39921,89,Communication,Always,96,Freshman,Always
39922,82,Communication,Rarely,65,Junior,Rarely
39923,4,Communication,Always,91,Senior,Rarely
39924,93,Polsci,Always,31,Freshman,Rarely
39925,100,Communication,Always,27,Senior,Rarely
39926,39,Stat,Rarely,82,Senior,Always
39927,62,Stat,Rarely,61,Senior,Always
39928,86,Cs,Rarely,56,Senior,Rarely
