"Studentid","Attendance","Major","Questions","Score","Seniority","Texting","Grade"
"39574","15","Stat","Always","84","Sophomore","Always","Fail"
"39575","48","Cs","Always","96","Freshman","Rarely","Pass"
"39576","27","Polsci","Always","34","Senior","Rarely","Pass"
"39577","25","Cs","Always","3","Senior","Always","Fail"
"39578","96","Cs","Always","41","Sophomore","Always","Fail"
"39579","17","Polsci","Always","68","Junior","Rarely","Pass"
"39580","74","Polsci","Always","97","Sophomore","Rarely","Pass"
"39581","13","Communication","Rarely","31","Senior","Always","Fail"
"39582","33","Polsci","Always","50","Sophomore","Always","Pass"
"39583","96","Communication","Always","54","Sophomore","Always","Pass"
"39584","85","Communication","Rarely","25","Senior","Always","Pass"
"39585","89","Communication","Rarely","15","Senior","Rarely","Fail"
"39586","71","Cs","Always","88","Freshman","Always","Pass"
"39587","71","Communication","Rarely","27","Senior","Always","Fail"
"39588","7","Communication","Always","69","Senior","Always","Pass"
"39589","62","Communication","Always","39","Senior","Rarely","Fail"
"39590","83","Communication","Rarely","46","Junior","Always","Pass"
"39591","93","Communication","Rarely","1","Freshman","Rarely","Fail"
"39592","15","Stat","Rarely","85","Freshman","Always","Fail"
"39593","12","Communication","Always","62","Freshman","Rarely","Pass"
"39594","66","Cs","Always","39","Freshman","Always","Fail"
"39595","88","Communication","Rarely","7","Sophomore","Rarely","Fail"
"39596","44","Communication","Rarely","10","Freshman","Rarely","Fail"
"39597","7","Communication","Always","44","Sophomore","Always","Pass"
"39598","56","Stat","Always","56","Junior","Always","Fail"
"39599","29","Polsci","Always","85","Junior","Rarely","Pass"
"39600","58","Cs","Rarely","70","Junior","Rarely","Pass"
"39601","40","Cs","Rarely","87","Freshman","Always","Pass"
"39602","2","Communication","Always","61","Freshman","Always","Pass"
"39603","46","Cs","Always","18","Sophomore","Always","Fail"
"39604","78","Cs","Always","14","Sophomore","Rarely","Fail"
"39605","10","Communication","Always","70","Junior","Always","Pass"
"39606","8","Communication","Always","92","Senior","Rarely","Fail"
"39607","92","Stat","Always","49","Junior","Always","Pass"
"39608","1","Stat","Rarely","20","Freshman","Rarely","Fail"
"39609","0","Polsci","Always","55","Senior","Rarely","Pass"
"39610","33","Cs","Always","80","Senior","Rarely","Pass"
"39611","77","Cs","Rarely","77","Senior","Always","Pass"
"39612","62","Stat","Always","87","Junior","Rarely","Pass"
"39613","29","Polsci","Always","75","Freshman","Rarely","Pass"
"39614","97","Stat","Rarely","3","Sophomore","Always","Pass"
"39615","99","Cs","Rarely","75","Freshman","Rarely","Pass"
"39616","37","Polsci","Always","57","Senior","Rarely","Pass"
"39617","95","Polsci","Rarely","67","Senior","Always","Pass"
"39618","25","Polsci","Always","91","Sophomore","Rarely","Pass"
"39619","61","Stat","Rarely","7","Freshman","Always","Pass"
"39620","13","Communication","Always","21","Freshman","Rarely","Fail"
"39621","34","Stat","Always","15","Junior","Always","Fail"
"39622","62","Cs","Rarely","59","Junior","Always","Fail"
"39623","41","Polsci","Rarely","99","Sophomore","Rarely","Pass"
"39624","86","Communication","Always","79","Sophomore","Rarely","Pass"
"39625","22","Stat","Rarely","100","Sophomore","Always","Pass"
"39626","86","Communication","Always","75","Freshman","Rarely","Pass"
"39627","41","Communication","Rarely","15","Junior","Rarely","Fail"
"39628","74","Communication","Always","90","Freshman","Rarely","Pass"
"39629","7","Cs","Always","30","Senior","Rarely","Fail"
"39630","38","Stat","Rarely","88","Freshman","Always","Pass"
"39631","87","Polsci","Rarely","63","Freshman","Rarely","Pass"
"39632","27","Communication","Rarely","30","Junior","Always","Fail"
"39633","78","Communication","Rarely","65","Senior","Rarely","Pass"
"39634","57","Polsci","Rarely","69","Freshman","Rarely","Pass"
"39635","79","Communication","Always","50","Sophomore","Always","Pass"
