Studentid,Attendance,Major,Questions,Score,Seniority,Texting,Grade
29998,40,Stat,Rarely,65,Freshman,Always,Pass
29999,30,Cs,Always,46,Senior,Rarely,Fail
30000,90,Communication,Rarely,60,Senior,Always,Pass
30001,5,Polsci,Always,46,Senior,Rarely,Pass
30002,67,Cs,Rarely,36,Senior,Always,Fail
30003,20,Stat,Rarely,50,Senior,Rarely,Pass
30004,78,Stat,Rarely,0,Senior,Always,Pass
30005,27,Polsci,Rarely,45,Junior,Always,Fail
30006,81,Polsci,Rarely,6,Sophomore,Always,Fail
30007,50,Communication,Rarely,97,Senior,Always,Pass
30008,96,Communication,Always,48,Junior,Rarely,Pass
30009,32,Communication,Rarely,30,Freshman,Always,Pass
30010,12,Polsci,Always,61,Senior,Always,Pass
30011,26,Stat,Rarely,16,Sophomore,Always,Pass
30012,100,Polsci,Rarely,54,Sophomore,Rarely,Pass
30013,87,Polsci,Always,75,Senior,Rarely,Pass
30014,47,Cs,Always,22,Freshman,Always,Fail
30015,0,Polsci,Rarely,72,Sophomore,Always,Pass
30016,38,Stat,Always,7,Sophomore,Rarely,Pass
30017,12,Stat,Rarely,56,Sophomore,Rarely,Fail
30018,63,Polsci,Rarely,74,Junior,Always,Fail
30019,15,Polsci,Always,75,Freshman,Rarely,Pass
30020,52,Communication,Rarely,11,Sophomore,Always,Fail
30021,81,Stat,Rarely,63,Freshman,Always,Pass
30022,46,Cs,Always,88,Freshman,Rarely,Pass
30023,85,Communication,Always,51,Junior,Rarely,Pass
30024,83,Cs,Rarely,98,Freshman,Rarely,Pass
30025,78,Cs,Rarely,18,Freshman,Rarely,Fail
30026,100,Polsci,Rarely,58,Sophomore,Rarely,Pass
30027,14,Cs,Rarely,79,Sophomore,Always,Pass
30028,10,Stat,Rarely,34,Freshman,Rarely,Fail
30029,57,Cs,Always,45,Sophomore,Rarely,Fail
30030,68,Communication,Rarely,1,Sophomore,Always,Fail
30031,98,Cs,Rarely,80,Junior,Always,Pass
30032,51,Communication,Rarely,53,Junior,Rarely,Pass
30033,48,Stat,Always,19,Sophomore,Rarely,Fail
30034,37,Communication,Always,75,Sophomore,Always,Pass
30035,80,Cs,Rarely,46,Freshman,Always,Pass
30036,35,Communication,Rarely,66,Junior,Always,Pass
30037,18,Polsci,Always,31,Sophomore,Always,Fail
30038,100,Communication,Rarely,79,Freshman,Always,Pass
30039,23,Polsci,Always,38,Sophomore,Always,Pass
30040,48,Cs,Rarely,95,Senior,Always,Pass
30041,67,Communication,Always,37,Junior,Always,Fail
30042,57,Communication,Always,22,Freshman,Rarely,Fail
30043,88,Cs,Rarely,21,Sophomore,Always,Fail
30044,69,Stat,Rarely,35,Junior,Always,Pass
30045,6,Cs,Rarely,37,Senior,Always,Fail
30046,11,Communication,Always,71,Senior,Rarely,Pass
