,Major,Score,Seniority,Grade
701,Statistics,75,Junior,
702,Psychology,37,Senior,
703,CS,93,Sophomore,
704,CS,97,Sophomore,
705,CS,17,Sophomore,
706,Psychology,74,Junior,
707,Economics,9,Senior,
708,CS,32,Senior,
709,Economics,40,Sophomore,
710,CS,66,Sophomore,
711,Psychology,4,Junior,
712,Psychology,45,Junior,
713,CS,75,Junior,
714,Economics,54,Sophomore,
715,CS,98,Junior,
716,Psychology,70,Senior,
717,Statistics,84,Sophomore,
718,Psychology,13,Junior,
719,CS,69,Senior,
720,CS,62,Freshman,
721,CS,48,Sophomore,
722,Statistics,76,Senior,
723,Economics,55,Sophomore,
724,Economics,45,Sophomore,
725,Psychology,76,Sophomore,
726,Psychology,14,Junior,
727,Economics,30,Senior,
728,CS,41,Sophomore,
729,Economics,93,Sophomore,
730,CS,97,Junior,
731,Economics,27,Senior,
732,Economics,54,Junior,
733,Economics,31,Senior,
734,CS,58,Junior,
735,Economics,77,Sophomore,
736,Statistics,54,Senior,
737,Economics,49,Junior,
738,Psychology,40,Junior,
739,Economics,46,Freshman,
740,CS,62,Senior,
741,Psychology,42,Senior,
742,Statistics,62,Sophomore,
743,Psychology,69,Junior,
744,CS,98,Junior,
745,Economics,66,Senior,
746,Economics,28,Junior,
747,Psychology,76,Freshman,
748,Economics,61,Junior,
749,Economics,66,Freshman,
750,Statistics,25,Senior,
751,Psychology,57,Freshman,
752,Statistics,94,Sophomore,
753,Psychology,1,Junior,
754,Statistics,22,Sophomore,
755,Psychology,85,Sophomore,
756,Economics,51,Junior,
757,Economics,89,Junior,
758,CS,17,Senior,
759,Psychology,33,Sophomore,
760,Psychology,7,Sophomore,
761,CS,25,Freshman,
762,Psychology,93,Sophomore,
763,Economics,44,Junior,
764,CS,47,Freshman,
765,CS,91,Senior,
766,CS,84,Sophomore,
767,Psychology,92,Junior,
768,Statistics,93,Freshman,
769,CS,40,Sophomore,
770,Economics,91,Senior,
771,Economics,48,Freshman,
772,Statistics,13,Junior,
773,Statistics,64,Freshman,
774,Statistics,79,Freshman,
775,Psychology,70,Freshman,
776,Psychology,18,Junior,
777,CS,86,Freshman,
778,CS,28,Junior,
779,Psychology,43,Junior,
780,CS,93,Junior,
781,CS,86,Senior,
782,CS,72,Sophomore,
783,Psychology,54,Sophomore,
784,CS,95,Sophomore,
785,CS,55,Senior,
786,Statistics,78,Freshman,
787,CS,79,Sophomore,
788,Statistics,26,Sophomore,
789,Psychology,5,Senior,
790,Statistics,99,Sophomore,
791,Economics,66,Senior,
792,Psychology,82,Junior,
793,Statistics,98,Junior,
794,CS,82,Freshman,
795,CS,40,Sophomore,
796,Statistics,21,Sophomore,
797,CS,57,Freshman,
798,Statistics,97,Junior,
799,Economics,42,Freshman,
800,Psychology,80,Senior,
801,Psychology,94,Freshman,
802,CS,74,Junior,
803,CS,82,Senior,
804,Economics,47,Junior,
805,CS,37,Senior,
806,Statistics,17,Junior,
807,Statistics,17,Sophomore,
808,Economics,71,Sophomore,
809,Psychology,25,Senior,
810,CS,45,Junior,
811,CS,76,Freshman,
812,Psychology,80,Senior,
813,CS,87,Freshman,
814,Statistics,46,Freshman,
815,Psychology,44,Junior,
816,Economics,92,Junior,
817,CS,90,Senior,
818,Economics,81,Freshman,
819,Psychology,89,Junior,
820,CS,20,Sophomore,
821,CS,90,Senior,
822,Psychology,99,Senior,
823,Economics,79,Senior,
824,Statistics,90,Sophomore,
825,Economics,58,Freshman,
826,Statistics,93,Junior,
827,CS,90,Junior,
828,Statistics,29,Senior,
829,Economics,69,Freshman,
830,Statistics,39,Sophomore,
831,Statistics,14,Junior,
832,Economics,48,Junior,
833,CS,50,Junior,
834,Statistics,75,Senior,
835,Psychology,5,Junior,
836,Psychology,85,Sophomore,
837,Psychology,36,Senior,
838,Psychology,4,Sophomore,
839,Statistics,93,Senior,
840,Statistics,81,Senior,
841,Psychology,67,Sophomore,
842,Statistics,76,Junior,
843,Economics,25,Freshman,
844,CS,27,Senior,
845,Economics,5,Junior,
846,CS,78,Sophomore,
847,CS,94,Freshman,
848,CS,83,Junior,
849,Psychology,100,Junior,
850,Psychology,95,Senior,
851,Statistics,99,Freshman,
852,Statistics,59,Junior,
853,Psychology,67,Senior,
854,Psychology,32,Sophomore,
855,Statistics,92,Senior,
856,CS,88,Senior,
857,Statistics,77,Sophomore,
858,Psychology,4,Sophomore,
859,Statistics,32,Senior,
860,Psychology,99,Sophomore,
861,CS,90,Freshman,
862,Statistics,24,Freshman,
863,Statistics,80,Senior,
864,Psychology,52,Senior,
865,Economics,3,Sophomore,
866,Statistics,14,Freshman,
867,CS,61,Senior,
868,Statistics,93,Senior,
869,Economics,29,Junior,
870,CS,86,Sophomore,
871,Economics,80,Junior,
872,Psychology,5,Junior,
873,Economics,8,Junior,
874,Economics,38,Sophomore,
875,Psychology,45,Senior,
876,Economics,75,Junior,
877,Statistics,79,Sophomore,
878,Economics,41,Senior,
879,Economics,21,Senior,
880,CS,81,Junior,
881,CS,60,Sophomore,
882,Statistics,28,Senior,
883,Statistics,31,Junior,
884,Statistics,74,Senior,
885,Psychology,9,Sophomore,
886,Economics,48,Junior,
887,Statistics,13,Senior,
888,CS,29,Junior,
889,CS,37,Junior,
890,Economics,57,Freshman,
891,CS,78,Freshman,
892,Economics,26,Senior,
893,Psychology,56,Junior,
894,Economics,84,Senior,
895,CS,95,Freshman,
896,Statistics,13,Sophomore,
897,Economics,39,Junior,
898,CS,18,Sophomore,
899,Psychology,80,Sophomore,
900,Economics,94,Senior,
901,CS,55,Junior,
902,Statistics,43,Sophomore,
903,Economics,55,Junior,
904,CS,31,Freshman,
905,Statistics,91,Senior,
906,Psychology,32,Senior,
907,Psychology,64,Sophomore,
908,Economics,88,Sophomore,
909,CS,70,Junior,
910,CS,97,Junior,
911,CS,74,Senior,
912,Psychology,84,Freshman,
913,Economics,16,Junior,
914,CS,30,Freshman,
915,Psychology,62,Freshman,
916,Economics,59,Senior,
917,CS,88,Senior,
918,Statistics,12,Junior,
919,CS,25,Junior,
