"SCORE","GRADE","DOZES_OFF","TEXTING_IN_CLASS","PARTICIPATION"
26.89,"F","never","never",0.29
71.57,"C","always","rarely",0.113608051277697
90.11,"A","always","never",0.258930020220578
31.52,"D","sometimes","rarely",0.03
95.94,"A","always","rarely",0.214564219396561
45.72,"D","always","rarely",0.00172719680704176
90.82,"A","always","always",0.154586096666753
75.52,"B","sometimes","never",0.26
52.31,"C","never","never",0.94
39.57,"D","always","always",0.0663122600875795
40.67,"D","sometimes","always",0.01
18.96,"F","sometimes","always",0.32
53.24,"C","sometimes","always",0
66.22,"B","never","never",0.06
46.3,"D","always","always",0.108447316056117
82.88,"A","never","rarely",1.05
85.61,"A","always","never",0.252935934672132
7.16,"F","sometimes","always",0.71
72.85,"B","never","never",0.01
38.76,"D","always","never",0.15787989362143
51.21,"C","always","rarely",0.0677442291285843
89.52,"A","always","rarely",0.186609480017796
52.19,"C","never","rarely",0.83
29.3,"F","never","always",0.13
49.2,"C","always","never",0.0885918594431132
10.84,"F","never","never",0.84
53.06,"C","never","always",0.75
52.87,"C","sometimes","never",0.69
44.68,"C","always","never",0.182418261049315
59.87,"C","sometimes","always",0.42
28.42,"F","sometimes","rarely",0.24
73.43,"B","always","always",0.0640665234066546
49.72,"D","always","always",0.0178201179020107
80.7,"A","always","always",0.26114109987393
8.9,"F","sometimes","always",0.46
37.31,"D","sometimes","always",0.14
89.8,"A","always","rarely",0.1838413387537
22.41,"D","sometimes","rarely",0.87
47.37,"C","never","always",0.69
34.83,"D","always","never",0.0406828939914703
72.79,"B","always","never",0.112408134015277
16.29,"F","always","rarely",0.106294565461576
99.43,"A","sometimes","never",0.33
25.69,"D","always","always",0.043212621845305
42.86,"D","never","always",0.53
5.49,"F","never","always",0
24.53,"F","always","never",0.174915733048692
58.83,"B","sometimes","never",0.73
68.45,"B","always","always",0.00124893388710916
42.94,"C","always","never",0.0822928184643388
94.96,"A","always","rarely",0.160706895031035
29.11,"F","never","always",0.07
77.58,"A","never","always",1.02
27.89,"D","always","always",0.18440731340088
34.31,"D","sometimes","rarely",0.15
83.55,"A","always","always",0.167390359332785
22.79,"F","always","always",0.120688413409516
