country,content,imdb_score,Gross,Budget,genre
USA,PG-13,7.25,High,High,Family
USA,PG-13,7.36,High,High,Family
USA,PG-13,7.37,High,High,Family
USA,PG-13,7.99,High,High,Sci-Fi
USA,PG-13,7.29,High,High,Sci-Fi
USA,PG-13,6.54,High,High,Family
USA,PG-13,6.5,High,High,Family
UK,PG-13,6.29,High,High,Family
UK,PG-13,6.14,High,High,Family
UK,PG-13,6.81,High,High,Action
USA,PG-13,7.88,High,High,Family
USA,PG-13,8.58,High,High,Action
USA,PG-13,6.06,High,High,Family
USA,PG-13,6.06,High,High,Family
USA,PG-13,6.03,High,High,Family
USA,PG-13,5.6,High,High,Family
USA,PG-13,6.29,High,High,Drama
USA,PG-13,5.6,High,High,Family
USA,PG,7.2,High,High,Family
USA,PG,7.25,High,High,Family
USA,PG,7.22,High,High,Family
USA,PG,7.19,High,High,Family
USA,PG,7.98,High,High,Comedy
USA,PG,7.85,High,High,Sci-Fi
USA,PG-13,6.81,High,High,Family
USA,PG-13,6.9,High,High,Family
USA,PG-13,6.8,High,High,Family
UK,PG,7.54,High,High,Sci-Fi
UK,PG,6.93,High,High,Family
UK,PG,6.82,High,High,Family
UK,PG,7.53,High,High,Drama
USA,PG-13,6.4,High,High,Family
USA,PG-13,6.36,High,High,Family
USA,PG-13,6.37,High,High,Family
USA,PG-13,5.45,High,High,Family
USA,PG-13,5.4,High,High,Family
USA,PG-13,5.42,High,High,Family
UK,PG-13,6.03,High,High,Family
UK,PG-13,6.16,High,High,Family
USA,PG-13,6.66,High,High,Family
USA,PG-13,7.42,High,High,Sci-Fi
USA,PG-13,6.61,High,High,Family
USA,PG-13,6,High,High,Family
USA,PG-13,5.8,High,High,Family
USA,PG-13,6.53,High,High,Action
USA,PG-13,6.6,High,High,Family
USA,PG-13,7.31,High,High,Sci-Fi
USA,PG-13,6.51,High,High,Family
USA,PG-13,6.58,High,High,Family
USA,PG,5.91,High,High,Family
USA,PG,5.92,High,High,Family
USA,PG,6,High,High,Family
USA,PG,6.66,High,High,Sci-Fi
USA,PG-13,7.4,High,High,Family
USA,PG-13,7.45,High,High,Family
USA,PG-13,7.51,High,High,Family
USA,PG-13,6.14,High,High,Family
USA,PG-13,6.01,High,High,Family
USA,PG-13,6.79,High,High,Sci-Fi
USA,PG-13,6.14,High,High,Family
USA,PG-13,6.25,High,High,Family
USA,PG-13,6.24,High,High,Family
USA,PG-13,6.28,High,High,Family
USA,PG-13,6.88,High,High,Sci-Fi
USA,PG-13,6.27,High,High,Family
New Zealand,PG-13,7.62,High,High,Sci-Fi
New Zealand,PG-13,6.99,High,High,Family
USA,PG-13,6.5,High,High,Family
USA,PG-13,6.44,High,High,Family
USA,PG-13,7,High,High,Sci-Fi
USA,PG-13,6.07,High,High,Family
USA,PG-13,6,High,High,Family
USA,PG-13,6.02,High,High,Family
USA,PG-13,6.02,High,High,Family
USA,PG-13,7.3,High,High,Family
USA,PG-13,7.91,High,High,Sci-Fi
USA,PG-13,5.5,High,High,Family
USA,PG-13,5.47,High,High,Family
USA,PG-13,6.22,High,High,Sci-Fi
New Zealand,PG-13,6.53,High,High,Family
New Zealand,PG-13,6.58,High,High,Family
New Zealand,PG-13,7.4,High,High,Drama
New Zealand,PG-13,6.54,High,High,Family
USA,PG-13,7.79,High,High,Drama
USA,PG-13,7.07,High,High,Family
USA,PG-13,7.56,High,High,Family
USA,PG-13,7.56,High,High,Family
USA,PG-13,7.52,High,High,Family
USA,PG-13,5.34,High,High,Family
USA,PG-13,5.32,High,High,Family
USA,PG-13,5.93,High,High,Action
USA,PG-13,5.25,High,High,Family
USA,PG-13,7.16,High,High,Action
USA,PG-13,6.41,High,High,Family
USA,PG-13,6.36,High,High,Family
USA,PG-13,6.41,High,High,Family
UK,PG-13,7.82,High,High,Action
UK,PG-13,7.25,High,High,Family
UK,PG-13,7.18,High,High,Family
USA,PG-13,6.8,High,High,Family
USA,PG-13,7.49,High,High,Sci-Fi
USA,PG-13,7.44,High,High,Drama
USA,PG-13,6.72,High,High,Family
USA,PG-13,6.52,High,High,Family
USA,PG-13,6.54,High,High,Family
USA,PG-13,6.63,High,High,Family
USA,PG,5.87,High,High,Family
USA,PG,6.68,High,High,Sci-Fi
USA,PG,5.83,High,High,Family
Canada,PG-13,6.18,High,High,Family
Canada,PG-13,6.19,High,High,Family
Canada,PG-13,6.29,High,High,Family
Canada,PG-13,6.98,High,High,Sci-Fi
Canada,PG-13,6.91,High,High,Action
USA,G,6.79,High,High,Family
USA,G,6.61,High,High,Family
USA,G,7.42,High,High,Sci-Fi
USA,G,6.78,High,High,Family
USA,G,6.73,High,High,Family
USA,PG-13,5.39,High,High,Family
USA,PG-13,5.35,High,High,Family
USA,PG-13,5.49,High,High,Family
USA,PG-13,5.04,High,High,Family
USA,PG-13,5.05,High,High,Family
USA,PG-13,5.15,High,High,Family
USA,PG,5.78,High,High,Family
USA,PG,5.75,High,High,Family
USA,PG,6.52,High,High,Sci-Fi
USA,PG-13,6.04,High,High,Family
USA,PG-13,6.07,High,High,Family
USA,PG-13,6.75,High,High,Sci-Fi
USA,PG-13,6.05,High,High,Family
USA,PG,6.28,High,High,Family
USA,PG,6.13,High,High,Family
USA,PG,6.2,High,High,Family
USA,G,5.66,High,High,Family
USA,G,5.68,High,High,Family
USA,G,5.64,High,High,Family
USA,G,5.8,High,High,Family
USA,G,6.3,High,High,History
USA,PG-13,4.9,High,High,Family
USA,PG-13,4.92,High,High,Family
USA,PG-13,4.98,High,High,Family
USA,G,7.74,High,High,Family
