country,content,imdb_score,Gross,Budget,genre,DataMaker
USA,PG-13,5.32,Medium,Medium,Drama,Quit
France,R,7.12,Low,Medium,Comedy,Survived
USA,R,7.29,High,Medium,Action,FellAsleep
USA,PG-13,6.63,Low,Low,History,Survived
USA,PG-13,9.81,High,Medium,Comedy,LikedIt
USA,R,6.06,High,High,Family,Survived
USA,PG,4.1,High,High,Family,Quit
India,PG-13,7.58,Low,High,Family,FellAsleep
USA,PG-13,5.85,Medium,Medium,Comedy,Quit
France,PG-13,6.85,Medium,Medium,Action,FellAsleep
USA,PG,6.09,High,Medium,Comedy,FellAsleep
USA,R,6.61,High,High,Family,Survived
Canada,R,8.35,Low,Medium,Comedy,LikedIt
China,R,6.37,Low,Medium,Comedy,FellAsleep
USA,G,6.8,High,Medium,Comedy,LovedIt
USA,PG-13,9.12,Medium,Medium,Action,LikedIt
USA,PG-13,4.9,High,High,Family,Quit
USA,PG-13,5.49,Medium,High,Family,Quit
USA,R,7.07,Medium,Medium,History,Survived
USA,PG-13,8.93,Medium,Low,History,Survived
UK,R,7.59,Low,Medium,Comedy,Quit
USA,PG-13,3.7,High,High,Family,Quit
USA,PG,5.12,High,High,Family,Quit
USA,R,9.81,Medium,Low,Drama,LikedIt
USA,PG-13,7.35,High,High,Action,LovedIt
USA,G,6.33,Low,Medium,History,Survived
Germany,R,8.37,Low,Low,History,Survived
UK,PG,4.99,Low,Medium,Sci-Fi,Quit
Germany,R,7.31,High,High,Action,FellAsleep
USA,PG-13,6.6,Medium,Medium,Action,Survived
USA,PG-13,5.97,High,High,Family,Quit
USA,PG,2.54,High,Medium,Comedy,FellAsleep
USA,R,8.63,Medium,High,Action,LikedIt
UK,PG-13,7.08,High,Medium,Drama,FellAsleep
USA,PG-13,4.77,Medium,High,Family,Quit
USA,PG,5,High,Medium,Drama,Quit
USA,R,4.37,Low,Low,Action,Quit
USA,R,9.24,Medium,Medium,History,LikedIt
USA,R,6.01,High,Low,Drama,LovedIt
USA,PG-13,6.79,High,Medium,Drama,Quit
Australia,R,7.3,Low,Medium,History,Survived
USA,PG,5.27,High,High,Family,Quit
