Party,Music,Host,WasThere,WasNotThere,CaloriesDanc
Boring,Classical,Alex,Eva,Manny,243
Fun,Classical,Janek,Billy,Joe,146
Boring,None,Alex,Ada,Angela,65
Boring,Classical,Xi,Janusz,Joe,36
Fun,HipHop,Janek,Eva,Vladimir,392
Fun,Techno,Janek,Qiong,Vladimir,311
ItwasOK,None,Alex,Ada,Joe,353
Boring,Classical,Katya,Janusz,Angela,70
Boring,None,Sonya,Ada,Angela,28
Boring,Classical,Katya,Janusz,Angela,253
Boring,Techno,Xi,Billy,Joe,94
Fun,Techno,Sonya,Ada,Vladimir,441
Fun,Techno,Sonya,Ada,Joe,409
Boring,Rock,Alex,Janusz,Joe,98
Fun,Rock,Janek,Ada,Vladimir,60
Fun,HipHop,Katya,Ada,Joe,336
Boring,Techno,Xi,Eva,Angela,114
Boring,None,Alex,Janusz,Angela,374
Fun,HipHop,Sonya,Janusz,Manny,418
Fun,Techno,Sonya,Eva,Vladimir,275
Fun,HipHop,Sonya,Ada,Manny,375
Boring,HipHop,Xi,Billy,Manny,473
Fun,Classical,Sonya,Qiong,Vladimir,191
Boring,Classical,Sonya,Billy,Manny,126
Fun,HipHop,Xi,Billy,Vladimir,498
Boring,Rock,Xi,Eva,Angela,240
Fun,Rock,Sonya,Eva,Vladimir,148
ItwasOK,HipHop,Alex,Billy,Joe,67
ItwasOK,Classical,Janek,Billy,Joe,82
Boring,Techno,Xi,Qiong,Angela,284
Boring,Rock,Xi,Eva,Joe,62
Fun,Classical,Sonya,Ada,Manny,95
ItwasOK,Rock,Katya,Janusz,Joe,360
Boring,Rock,Janek,Janusz,Joe,312
ItwasOK,Techno,Alex,Billy,Vladimir,253
Boring,None,Alex,Qiong,Angela,214
Fun,Techno,Janek,Ada,Vladimir,8
Boring,None,Janek,Janusz,Angela,40
Fun,None,Alex,Qiong,Manny,405
ItwasOK,Techno,Sonya,Janusz,Joe,337
Fun,Rock,Alex,Janusz,Vladimir,149
Boring,Rock,Katya,Janusz,Joe,12
Boring,Rock,Alex,Janusz,Manny,309
Fun,HipHop,Katya,Qiong,Manny,286
Fun,Rock,Sonya,Eva,Vladimir,182
Fun,None,Sonya,Eva,Vladimir,452
Fun,HipHop,Katya,Eva,Manny,212
Boring,Classical,Sonya,Billy,Joe,494
Boring,Rock,Janek,Eva,Angela,106
Boring,Rock,Janek,Ada,Angela,422
Boring,Classical,Katya,Qiong,Manny,414
Boring,Classical,Sonya,Qiong,Angela,4
Fun,HipHop,Alex,Qiong,Joe,228
Boring,Rock,Xi,Ada,Joe,493
Fun,None,Janek,Eva,Vladimir,106
Fun,Rock,Janek,Qiong,Vladimir,394
Fun,Rock,Sonya,Ada,Joe,31
Boring,Techno,Xi,Ada,Manny,77
Boring,Techno,Alex,Qiong,Joe,446
Fun,Rock,Janek,Eva,Vladimir,367
Fun,Rock,Alex,Qiong,Vladimir,26
Fun,Rock,Sonya,Qiong,Joe,253
Boring,HipHop,Alex,Qiong,Manny,176
ItwasOK,None,Janek,Qiong,Joe,309
Fun,HipHop,Janek,Billy,Vladimir,27
Fun,None,Janek,Ada,Manny,235
Boring,None,Katya,Qiong,Angela,359
Fun,Classical,Sonya,Qiong,Manny,77
Fun,HipHop,Alex,Qiong,Angela,298
Fun,Classical,Janek,Eva,Manny,403
Boring,Techno,Alex,Eva,Angela,206
Fun,Rock,Xi,Eva,Joe,321
Boring,HipHop,Janek,Billy,Manny,93
Fun,Rock,Alex,Qiong,Joe,349
Boring,Techno,Janek,Janusz,Angela,250
Boring,Rock,Alex,Billy,Angela,410
Boring,Rock,Janek,Qiong,Angela,252
Fun,Techno,Xi,Billy,Vladimir,277
Boring,Classical,Xi,Eva,Angela,333
Boring,Classical,Janek,Ada,Manny,269
Fun,Rock,Alex,Billy,Angela,292
Fun,Techno,Alex,Janusz,Vladimir,183
Boring,Classical,Katya,Ada,Manny,398
Fun,None,Sonya,Ada,Vladimir,119
ItwasOK,Techno,Janek,Ada,Vladimir,292
ItwasOK,Techno,Alex,Janusz,Joe,145
Boring,Classical,Xi,Eva,Angela,29
Boring,Classical,Sonya,Billy,Manny,369
Boring,None,Alex,Ada,Angela,247
Fun,HipHop,Sonya,Janusz,Manny,306
Fun,Rock,Janek,Eva,Joe,167
Fun,Rock,Janek,Janusz,Vladimir,100
Boring,Rock,Xi,Qiong,Joe,213
Fun,Techno,Katya,Qiong,Vladimir,96
ItwasOK,Classical,Janek,Janusz,Manny,492
Boring,Rock,Xi,Ada,Joe,232
Fun,Classical,Xi,Billy,Vladimir,280
ItwasOK,HipHop,Alex,Eva,Angela,443
Boring,Rock,Katya,Janusz,Manny,100
Boring,Techno,Xi,Eva,Angela,240
Fun,Rock,Alex,Billy,Vladimir,245
