Toss,Location,Time,Tosser,Temprature,Reporter
Heads,MacDonalds,Night,Dev,44,Arpit
Heads,Tachos,Evening,Dev,71,Katia
Heads,Tachos,Night,Katia,41,Dev
Heads,MacDonalds,Evening,John,63,Dev
Tails,Panera,Evening,Dev,64,Chen
Heads,Starbucks,Morning,Kalpana,80,Dev
Heads,Starbucks,Evening,John,67,Chen
Heads,Panera,Night,Dev,62,Arpit
Tails,Panera,Night,Chen,24,Ayla
Heads,MacDonalds,Midday,Katia,8,Dev
Tails,Panera,Night,Dev,22,Chen
Tails,BurgerKing,Night,Chen,37,Katia
Tails,BurgerKing,Evening,John,52,Dev
Tails,Tachos,Midday,Chen,83,Arpit
Tails,Tachos,Midday,Katia,43,Chen
Tails,BurgerKing,Midday,Kalpana,30,Katia
Heads,MacDonalds,Evening,John,97,Arpit
Tails,BurgerKing,Morning,John,90,Ayla
Heads,MacDonalds,Evening,John,30,Arpit
Heads,Panera,Midday,Dev,94,Katia
Heads,Starbucks,Night,Katia,31,Katia
Heads,Starbucks,Night,Dev,16,Katia
Tails,BurgerKing,Midday,Kalpana,21,Katia
Heads,Tachos,Morning,John,36,Dev
Heads,Panera,Midday,Chen,64,Dev
Tails,Tachos,Night,Kalpana,89,Chen
Heads,Panera,Night,John,50,Dev
Tails,BurgerKing,Morning,Katia,96,Dev
Tails,BurgerKing,Night,Katia,11,Ayla
Tails,MacDonalds,Night,Katia,23,Katia
Heads,BurgerKing,Morning,John,94,Katia
Tails,Panera,Night,Kalpana,23,Ayla
Heads,BurgerKing,Midday,Katia,24,Chen
Heads,BurgerKing,Evening,Dev,44,Chen
Tails,MacDonalds,Evening,John,99,Chen
Tails,Panera,Morning,Dev,36,Chen
Tails,Panera,Night,Kalpana,25,Ayla
Tails,Tachos,Morning,Chen,58,Ayla
Tails,Starbucks,Evening,Katia,92,Ayla
Tails,MacDonalds,Midday,Chen,69,Ayla
Heads,Panera,Evening,John,61,Dev
Tails,BurgerKing,Morning,John,2,Chen
Tails,Starbucks,Night,Katia,90,Dev
Heads,MacDonalds,Morning,Chen,15,Ayla
Tails,Panera,Night,Dev,74,Dev
Tails,Tachos,Midday,Dev,92,Ayla
Heads,Starbucks,Midday,Katia,96,Arpit
Tails,MacDonalds,Morning,John,68,Dev
Heads,Panera,Midday,Dev,49,Arpit
Heads,Tachos,Midday,Dev,73,Arpit
Tails,Starbucks,Evening,Chen,38,Arpit
Tails,Starbucks,Evening,John,77,Dev
Heads,Tachos,Morning,Chen,74,Chen
Tails,Tachos,Midday,John,13,Chen
Heads,BurgerKing,Morning,Kalpana,96,Arpit
Heads,Starbucks,Evening,Dev,33,Ayla
Tails,Tachos,Morning,Dev,77,Ayla
Heads,BurgerKing,Morning,Chen,100,Ayla
Heads,BurgerKing,Midday,Katia,62,Ayla
Tails,Tachos,Midday,Katia,9,Chen
Heads,Panera,Night,Katia,91,Chen
Heads,Starbucks,Evening,Katia,19,Ayla
Heads,BurgerKing,Midday,John,13,Ayla
Tails,MacDonalds,Night,Kalpana,6,Chen
Heads,BurgerKing,Evening,Dev,68,Chen
Heads,Starbucks,Evening,John,95,Ayla
Heads,Starbucks,Evening,Katia,55,Dev
Heads,Panera,Night,John,72,Katia
Tails,Tachos,Evening,John,56,Ayla
Tails,MacDonalds,Night,Kalpana,74,Ayla
Tails,Tachos,Evening,Dev,49,Katia
Heads,BurgerKing,Night,John,84,Dev
Tails,MacDonalds,Night,Dev,92,Chen
Heads,Tachos,Night,Dev,3,Dev
Tails,Starbucks,Morning,Dev,57,Dev
Tails,BurgerKing,Evening,Kalpana,65,Ayla
Heads,Starbucks,Night,Kalpana,78,Ayla
Tails,MacDonalds,Morning,Kalpana,63,Chen
Heads,MacDonalds,Night,Katia,91,Chen
Heads,Tachos,Night,Kalpana,44,Ayla
Tails,MacDonalds,Evening,John,0,Dev
Heads,Tachos,Night,Katia,63,Ayla
Tails,Tachos,Midday,Katia,37,Katia
Heads,BurgerKing,Morning,Dev,46,Chen
Tails,Tachos,Midday,Katia,75,Katia
Tails,Tachos,Midday,John,5,Ayla
Tails,Tachos,Evening,Kalpana,16,Dev
Tails,MacDonalds,Evening,Chen,53,Chen
Heads,MacDonalds,Midday,Chen,13,Dev
Heads,MacDonalds,Night,John,67,Katia
Heads,Starbucks,Morning,Chen,100,Katia
Heads,BurgerKing,Night,Dev,75,Arpit
Heads,BurgerKing,Night,Dev,73,Dev
Tails,Tachos,Evening,Kalpana,38,Katia
Heads,Starbucks,Midday,Chen,18,Arpit
Tails,Tachos,Morning,Katia,9,Arpit
Heads,BurgerKing,Evening,Dev,43,Arpit
Heads,MacDonalds,Midday,Kalpana,29,Katia
Tails,MacDonalds,Evening,Chen,33,Ayla
Heads,BurgerKing,Morning,Katia,66,Arpit
Tails,BurgerKing,Night,John,80,Chen
Tails,Tachos,Midday,John,41,Chen
Heads,Panera,Morning,Chen,54,Ayla
Heads,Starbucks,Evening,John,30,Arpit
Tails,Tachos,Midday,Chen,14,Arpit
Tails,Starbucks,Midday,Chen,96,Chen
Heads,Starbucks,Night,Kalpana,87,Arpit
Heads,BurgerKing,Evening,Dev,55,Katia
Tails,MacDonalds,Midday,Dev,79,Ayla
