AGE,STATUS,EDUCATION,YEARS,PROFESSION,CAPITALGAINS,CAPITALLOSS,NATIVE,ZODIAK
21,Private,Some-college,10,Machine-op-inspct,0,0,United-States,Aquarius
21,Private,Some-college,10,Other-service,0,0,United-States,Aquarius
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Aquarius
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Aquarius
21,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Aquarius
21,Private,Some-college,10,Sales,0,0,United-States,Aquarius
21,Private,Some-college,10,Other-service,0,0,United-States,Aquarius
21,?,Some-college,10,?,0,0,United-States,Aquarius
21,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Aquarius
21,Private,Some-college,10,Sales,290378,0,United-States,Aquarius
21,Private,Some-college,10,Handlers-cleaners,0,0,United-States,Aquarius
21,Private,Some-college,10,Handlers-cleaners,0,0,United-States,Aquarius
21,?,HS-grad,9,?,1055,0,United-States,Aquarius
21,Private,10th,6,Handlers-cleaners,0,0,United-States,Aquarius
21,Private,Some-college,10,Other-service,0,0,United-States,Aquarius
21,Private,Some-college,10,Exec-managerial,4101,0,United-States,Aquarius
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Aquarius
21,Private,Some-college,10,Farming-fishing,0,0,United-States,Aquarius
21,Private,Some-college,10,Other-service,0,0,United-States,Aquarius
21,Private,Some-college,10,Other-service,0,0,United-States,Aquarius
21,Private,HS-grad,9,Other-service,0,0,United-States,Aquarius
21,Private,HS-grad,9,Other-service,0,1719,United-States,Aquarius
21,State-gov,Some-college,10,Other-service,0,0,United-States,Aquarius
21,?,Some-college,10,?,0,0,United-States,Aquarius
21,Private,Some-college,10,Other-service,0,0,Puerto-Rico,Aquarius
21,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Aquarius
21,Private,Some-college,10,Other-service,0,0,United-States,Aquarius
21,?,Some-college,10,?,0,0,United-States,Aquarius
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Aquarius
21,Private,Some-college,10,Sales,0,0,United-States,Aquarius
21,State-gov,Some-college,10,Tech-support,0,0,United-States,Aquarius
21,?,Some-college,10,?,0,0,United-States,Aquarius
21,Private,Some-college,10,Other-service,0,0,United-States,Aquarius
21,State-gov,Some-college,10,Prof-specialty,0,0,United-States,Aquarius
21,Private,Assoc-voc,11,Machine-op-inspct,0,0,United-States,Aquarius
21,Private,11th,7,Other-service,0,0,United-States,Aquarius
21,?,Some-college,10,?,0,0,United-States,Aquarius
21,?,Assoc-voc,11,?,0,0,United-States,Aquarius
21,Private,Some-college,10,Other-service,0,0,United-States,Aquarius
21,?,Some-college,10,?,0,0,United-States,Aquarius
21,?,Some-college,10,?,0,0,United-States,Aquarius
21,State-gov,Some-college,10,Adm-clerical,0,0,United-States,Aquarius
21,Private,Some-college,10,Other-service,0,0,United-States,Aquarius
21,Private,HS-grad,9,Other-service,0,0,United-States,Aquarius
21,Private,Some-college,10,Other-service,0,0,United-States,Aquarius
21,Private,HS-grad,9,Prof-specialty,0,0,United-States,Aquarius
21,?,Some-college,10,?,262466,0,United-States,Aquarius
21,Private,HS-grad,9,Farming-fishing,0,0,United-States,Cancer
21,Private,Some-college,10,Adm-clerical,0,0,Mexico,Cancer
21,Private,Some-college,10,Other-service,0,0,United-States,Cancer
21,Private,Some-college,10,Craft-repair,0,0,United-States,Cancer
21,Private,Some-college,10,Other-service,0,0,United-States,Cancer
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Cancer
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Cancer
21,?,HS-grad,9,?,0,0,United-States,Cancer
21,Private,11th,7,Priv-house-serv,0,0,Mexico,Cancer
21,Private,HS-grad,9,Other-service,0,0,United-States,Cancer
21,Private,Some-college,10,Craft-repair,0,0,United-States,Cancer
21,Private,Some-college,10,Prof-specialty,0,0,United-States,Cancer
21,?,HS-grad,9,?,0,0,United-States,Cancer
21,Private,Some-college,10,Other-service,0,0,?,Cancer
21,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Cancer
21,Private,Some-college,10,Other-service,0,0,United-States,Cancer
21,Private,Some-college,10,Other-service,0,0,United-States,Cancer
21,Private,Some-college,10,Sales,0,0,United-States,Cancer
21,?,Some-college,10,?,0,0,United-States,Cancer
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Cancer
21,Local-gov,Some-college,10,Adm-clerical,0,0,Guatemala,Cancer
21,Private,HS-grad,9,Transport-moving,0,0,United-States,Cancer
21,Private,10th,6,Farming-fishing,0,0,United-States,Cancer
21,Private,HS-grad,9,Adm-clerical,0,0,Jamaica,Cancer
21,Private,Assoc-acdm,12,Other-service,0,0,Jamaica,Cancer
21,Private,Some-college,10,Craft-repair,0,0,United-States,Cancer
21,Private,10th,6,Machine-op-inspct,295721,0,United-States,Cancer
21,Private,Some-college,10,Handlers-cleaners,0,0,United-States,Cancer
21,Private,Some-college,10,Other-service,0,0,United-States,Cancer
21,Private,Some-college,10,Sales,0,0,United-States,Cancer
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Cancer
21,Private,HS-grad,9,Farming-fishing,0,0,United-States,Cancer
21,Private,Some-college,10,Sales,0,0,United-States,Cancer
21,Private,Some-college,10,Tech-support,0,0,Ecuador,Cancer
21,Private,Some-college,10,Prof-specialty,0,0,United-States,Cancer
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Cancer
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Cancer
21,Private,HS-grad,9,Sales,295164,0,United-States,Cancer
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Cancer
21,?,Some-college,10,?,0,0,United-States,Cancer
21,Private,Some-college,10,Other-service,0,0,United-States,Cancer
21,?,Assoc-acdm,12,?,0,0,United-States,Cancer
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Cancer
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Cancer
21,Private,7th-8th,4,Other-service,229486,0,Mexico,Cancer
21,Private,HS-grad,9,Exec-managerial,0,0,United-States,Cancer
21,Private,Some-college,10,Prof-specialty,0,0,United-States,Cancer
21,Private,Some-college,10,Other-service,0,0,United-States,Cancer
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Cancer
21,Private,HS-grad,9,Craft-repair,594,0,United-States,Cancer
21,Private,Some-college,10,Machine-op-inspct,0,0,United-States,Cancer
21,Private,HS-grad,9,Sales,0,0,United-States,Cancer
21,Private,Some-college,10,Sales,0,0,?,Cancer
21,Private,Some-college,10,Sales,0,0,United-States,Cancer
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Cancer
21,Private,Some-college,10,Other-service,0,0,United-States,Cancer
21,Private,Some-college,10,Sales,0,0,United-States,Cancer
21,?,Some-college,10,?,0,0,United-States,Cancer
21,Private,Assoc-voc,11,Adm-clerical,0,1579,United-States,Cancer
21,Private,HS-grad,9,Sales,0,0,?,Cancer
21,Private,Some-college,10,Other-service,259590,0,United-States,Cancer
21,Private,HS-grad,9,Machine-op-inspct,0,0,Mexico,Cancer
21,State-gov,Some-college,10,Adm-clerical,0,0,United-States,Cancer
21,Self-emp-inc,Some-college,10,Exec-managerial,0,0,United-States,Cancer
21,Local-gov,Some-college,10,Adm-clerical,0,0,United-States,Cancer
21,Private,Assoc-acdm,12,Adm-clerical,0,0,United-States,Cancer
