"id","name","host_name","neighbourhood_group","neighbourhood","room_type","floor","price"
5756241,"1 bedroom in a 2 bedroom apartment","Teri","Manhattan","Midtown","Entire home/apt",16,531.3009752
5692807,"Charming Two Bedroom in Chelsea 30 days+","Eric","Manhattan","Chelsea","Entire home/apt",1,287.310175
6286253,"SunLit Room in Hip Neighborhood","Rebekah","Brooklyn","Bushwick","Private room",1,267.7120154
594732,"Greenwich Village Skylit 1BR +deck!","Chris","Manhattan","Greenwich Village","Entire home/apt",16,537.439257
35199464,"Penthouse on the beach 3 floors of art, fun,surf,","Sata","Queens","Far Rockaway","Entire home/apt",5,152.7280896
32520381,"Newly renovated 2BR apt in brownstone Brooklyn","Emmanuel","Brooklyn","Carroll Gardens","Entire home/apt",1,199.9725664
20652620,"Single Bed A in Sharing Room near Grand Central","Mizue","Manhattan","Murray Hill","Shared room",16,203.9958333
20698073,"Hip Modern Brooklyn Studio, Minutes to Manhattan!","Gary","Brooklyn","Clinton Hill","Entire home/apt",1,202.3660063
16513101,"Cool Brooklyn Flat","Anthony","Brooklyn","Red Hook","Entire home/apt",1,199.5740036
29626157,"Sun Drenched 1-Bed in the Heart of Park Slope","Phoebe","Brooklyn","Park Slope","Entire home/apt",1,196.9842611
5881858,"Newly renovated 1 bedroom apartment","Georgie","Manhattan","East Village","Entire home/apt",1,288.200148
16616410,"Vacation in Astoria","Nelli","Queens","Astoria","Private room",5,85.90672709
27337533,"Private Room in a lovely Apartment","Ala","Brooklyn","Bedford-Stuyvesant","Private room",16,519.6347766
32721316,"Make this New Year's Eve Special in NYC","Deanna","Manhattan","Midtown","Private room",16,264.2657755
7805443,"Simple and Central Near Times Sq","Reymon","Manhattan","Hell's Kitchen","Private room",16,261.5801506
26840133,"Oasis I","Angie","Brooklyn","Bedford-Stuyvesant","Private room",1,93.93385044
19343737,"Spacious private BR-PRIME BUSHWICK. Roof access!","Daria","Brooklyn","Bushwick","Private room",1,92.04736238
16381049,"Large 3bd 2 bath duplex in prime Greenpoint!","LeAndra","Brooklyn","Greenpoint","Entire home/apt",1,211.7351171
30198386,"Big Cozy Brand New Sunny Studio in Flushing NY!","Mike","Queens","Flushing","Entire home/apt",5,156.3270104
11649223,"3 Bedroom, family ready, in Harlem","Brandi","Manhattan","Harlem","Entire home/apt",16,516.2929449
3731965,"Williamsburg Brooklyn quiet abode","Elliot","Brooklyn","Williamsburg","Entire home/apt",1,204.6895834
28253482,"Artsy Brooklyn Apartment","Heather Marie","Brooklyn","Flatbush","Private room",1,88.08489944
10747156,"Cozy room, Queens, New York","Adriana","Queens","Rego Park","Private room",5,80.2226924
34466803,"Sunny spacious room full of good energy","Nilbia","Brooklyn","Bedford-Stuyvesant","Private room",1,93.8371306
26147454,"Sunny, Spacious 1BR in Ditmas Park, Brooklyn","Courtney","Brooklyn","Kensington","Entire home/apt",1,190.9644445
2055819,"Garden Oasis, Williamsburg!        ","Mike","Brooklyn","Williamsburg","Entire home/apt",1,277.5409958
19190179,"Private Room in Williamsburg Loft","Janine","Brooklyn","Williamsburg","Private room",1,99.9963393
6091224,"Sunny 1 Bedroom in Harlem!","Dana","Manhattan","Harlem","Entire home/apt",1,266.9277883
27369200,"Sonder | 21 Chelsea | Colorful 1BR + Rooftop","Sonder","Manhattan","Chelsea","Entire home/apt",1,288.6091878
30591478,"Spacious-Sleeps 2-Next to trains-Flex Chk In Times","475","Manhattan","Harlem","Private room",1,128.426203
8009332,"My cozy artistic Apartment","Maggie","Brooklyn","Sheepshead Bay","Shared room",1,125.4092191
33195591,"Manhatan Stylish Bedroom","Jay","Manhattan","Harlem","Private room",1,129.8793478
33115218,"Studio apt in the East Village","Miguel","Manhattan","East Village","Entire home/apt",16,533.939211
4559096,"$99 Manhattan/Time Sq.","Johnny","Manhattan","Hell's Kitchen","Private room",16,262.7588523
21363363,"Clean & Updated East Village 1 Bedroom w/Roof Deck","Brian","Manhattan","East Village","Entire home/apt",1,287.0224843
14403574,"COZY ROOM in a beautiful Bushwick apartment","Ben","Brooklyn","Bushwick","Private room",1,92.60834612
