"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"AFG","Asia","Afghanistan","2019-12-31",\N,"0",\N,\N,"0",\N,\N,"0",\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-01",\N,"0",\N,\N,"0",\N,\N,"0",\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-02",\N,"0",\N,\N,"0",\N,\N,"0",\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-03",\N,"0",\N,\N,"0",\N,\N,"0",\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-04",\N,"0",\N,\N,"0",\N,\N,"0",\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-05",\N,"0",\N,\N,"0",\N,\N,"0",\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-06",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-07",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-08",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-09",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-10",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-11",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-12",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-13",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-14",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-15",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-16",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-17",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-18",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-19",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-20",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-21",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-22",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-23",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-24",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-25",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-26",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-27",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-28",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-29",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-30",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-01-31",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-02-01",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-02-02",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-02-03",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-02-04",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-02-05",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-02-06",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-02-07",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
"AFG","Asia","Afghanistan","2020-02-08",\N,"0","0",\N,"0","0",\N,"0","0",\N,"0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","38928341","54.422","18.6","2.581","1.337","1803.99",\N,"597.029","9.59",\N,\N,"37.746","0.5","64.83","0.498"
