color,num_critic_for_reviews,duration,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,movie_facebook_likes
Color,723,178,760505847,Action|Adventure|Fantasy|Sci-Fi,Avatar ,886204,4834,0,3054,English,USA,PG-13,237000000,2009,7.9,33000
Color,302,169,309404152,Action|Adventure|Fantasy,Pirates of the Caribbean: At World's End ,471220,48350,0,1238,English,USA,PG-13,300000000,2007,7.1,0
Color,602,148,200074175,Action|Adventure|Thriller,Spectre ,275868,11700,1,994,English,UK,PG-13,245000000,2015,6.8,85000
Color,813,164,448130642,Action|Thriller,The Dark Knight Rises ,1144337,106759,0,2701,English,USA,PG-13,250000000,2012,8.5,164000
,,,,Documentary,Star Wars: Episode VII - The Force Awakens             ,8,143,0,,,,,,,7.1,0
Color,462,132,73058679,Action|Adventure|Sci-Fi,John Carter ,212204,1873,1,738,English,USA,PG-13,263700000,2012,6.6,24000
Color,392,156,336530303,Action|Adventure|Romance,Spider-Man 3 ,383056,46055,0,1902,English,USA,PG-13,258000000,2007,6.2,0
Color,324,100,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled ,294810,2036,1,387,English,USA,PG,260000000,2010,7.8,29000
Color,635,141,458991599,Action|Adventure|Sci-Fi,Avengers: Age of Ultron ,462669,92000,4,1117,English,USA,PG-13,250000000,2015,7.5,118000
Color,375,153,301956980,Adventure|Family|Fantasy|Mystery,Harry Potter and the Half-Blood Prince ,321795,58753,3,973,English,UK,PG,250000000,2009,7.5,10000
Color,673,183,330249062,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice ,371639,24450,0,3018,English,USA,PG-13,250000000,2016,6.9,197000
Color,434,169,200069408,Action|Adventure|Sci-Fi,Superman Returns ,240396,29991,0,2367,English,USA,PG-13,209000000,2006,6.1,0
Color,403,106,168368427,Action|Adventure,Quantum of Solace ,330784,2023,1,1243,English,UK,PG-13,200000000,2008,6.7,0
Color,313,151,423032628,Action|Adventure|Fantasy,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,2,1832,English,USA,PG-13,225000000,2006,7.3,5000
Color,450,150,89289910,Action|Adventure|Western,The Lone Ranger ,181792,45757,1,711,English,USA,PG-13,215000000,2013,6.5,48000
Color,733,143,291021565,Action|Adventure|Fantasy|Sci-Fi,Man of Steel ,548573,20495,0,2536,English,USA,PG-13,225000000,2013,7.2,118000
Color,258,150,141614023,Action|Adventure|Family|Fantasy,The Chronicles of Narnia: Prince Caspian ,149922,22697,4,438,English,USA,PG,225000000,2008,6.6,0
Color,703,173,623279547,Action|Adventure|Sci-Fi,The Avengers ,995415,87697,3,1722,English,USA,PG-13,220000000,2012,8.1,123000
Color,448,136,241063875,Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides ,370704,54083,4,484,English,USA,PG-13,250000000,2011,6.7,58000
Color,451,106,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Men in Black 3 ,268154,12572,1,341,English,USA,PG-13,225000000,2012,6.8,40000
Color,422,164,255108370,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies ,354228,9152,0,802,English,New Zealand,PG-13,250000000,2014,7.5,65000
Color,599,153,262030663,Action|Adventure|Fantasy,The Amazing Spider-Man ,451803,28489,0,1225,English,USA,PG-13,230000000,2012,7,56000
Color,343,156,105219735,Action|Adventure|Drama|History,Robin Hood ,211765,3244,0,546,English,USA,PG-13,200000000,2010,6.7,17000
Color,509,186,258355354,Adventure|Fantasy,The Hobbit: The Desolation of Smaug ,483540,9152,6,951,English,USA,PG-13,225000000,2013,7.9,83000
Color,251,113,70083519,Adventure|Family|Fantasy,The Golden Compass ,149019,24106,2,666,English,USA,PG-13,180000000,2007,6.1,0
Color,446,201,218051260,Action|Adventure|Drama|Romance,King Kong ,316018,7123,0,2618,English,New Zealand,PG-13,207000000,2005,7.2,0
Color,315,194,658672302,Drama|Romance,Titanic ,793059,45223,0,2528,English,USA,PG-13,200000000,1997,7.7,26000
Color,516,147,407197282,Action|Adventure|Sci-Fi,Captain America: Civil War ,272670,64798,0,1022,English,USA,PG-13,250000000,2016,8.2,72000
Color,377,131,65173160,Action|Adventure|Sci-Fi|Thriller,Battleship ,202382,26679,0,751,English,USA,PG-13,209000000,2012,5.9,44000
Color,644,124,652177271,Action|Adventure|Sci-Fi|Thriller,Jurassic World ,418214,8458,0,1290,English,USA,PG-13,150000000,2015,7,150000
Color,750,143,304360277,Action|Adventure|Thriller,Skyfall ,522030,2039,0,1498,English,UK,PG-13,200000000,2012,7.8,80000
Color,300,135,373377893,Action|Adventure|Fantasy|Romance,Spider-Man 2 ,411164,43388,1,1303,English,USA,PG-13,200000000,2004,7.3,0
Color,608,195,408992272,Action|Adventure|Sci-Fi,Iron Man 3 ,557489,30426,3,1187,English,USA,PG-13,200000000,2013,7.2,95000
Color,451,108,334185206,Adventure|Family|Fantasy,Alice in Wonderland ,306320,79957,0,736,English,USA,PG,200000000,2010,6.5,24000
Color,334,104,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: The Last Stand ,383427,21714,0,1912,English,Canada,PG-13,210000000,2006,6.8,0
Color,376,104,268488329,Adventure|Animation|Comedy|Family|Fantasy,Monsters University ,235025,14863,0,265,English,USA,G,200000000,2013,7.3,44000
Color,366,150,402076689,Action|Adventure|Sci-Fi,Transformers: Revenge of the Fallen ,323207,3218,0,1439,English,USA,PG-13,200000000,2009,6,0
Color,378,165,245428137,Action|Adventure|Sci-Fi,Transformers: Age of Extinction ,242420,3988,2,918,English,USA,PG-13,210000000,2014,5.7,56000
Color,525,130,234903076,Adventure|Family|Fantasy,Oz the Great and Powerful ,175409,73441,4,511,English,USA,PG,215000000,2013,6.4,60000
Color,495,142,202853933,Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2 ,321227,28631,0,1067,English,USA,PG-13,200000000,2014,6.7,41000
Color,469,125,172051787,Action|Adventure|Sci-Fi,TRON: Legacy ,264183,25550,0,665,English,USA,PG,170000000,2010,6.8,30000
Color,304,106,191450875,Adventure|Animation|Comedy|Family|Sport,Cars 2 ,101178,4482,0,283,English,USA,G,200000000,2011,6.3,10000
Color,436,123,116593191,Action|Adventure|Sci-Fi,Green Lantern ,223393,17657,2,550,English,USA,PG-13,200000000,2011,5.6,24000
Color,453,103,414984497,Adventure|Animation|Comedy|Family|Fantasy,Toy Story 3 ,544884,19085,3,733,English,USA,G,200000000,2010,8.3,30000
Color,422,118,125320003,Action|Adventure|Sci-Fi,Terminator Salvation ,286095,27468,0,974,English,USA,PG-13,200000000,2009,6.6,0
Color,424,140,350034110,Action|Crime|Thriller,Furious 7 ,278232,79150,0,657,English,USA,PG-13,190000000,2015,7.2,94000
Color,654,123,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,World War Z ,465019,32392,0,995,English,USA,PG-13,190000000,2013,7,129000
Color,539,149,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past ,514125,91434,7,752,English,USA,PG-13,200000000,2014,8,82000
Color,590,132,228756232,Action|Adventure|Sci-Fi,Star Trek Into Darkness ,395573,21411,0,1171,English,USA,PG-13,190000000,2013,7.8,92000
Color,338,114,65171860,Adventure|Fantasy,Jack the Giant Slayer ,106416,1766,1,205,English,USA,PG-13,195000000,2013,6.3,22000
Color,490,143,144812796,Drama|Romance,The Great Gatsby ,362912,29770,4,753,English,Australia,PG-13,105000000,2013,7.3,115000
Color,306,116,90755643,Action|Adventure|Fantasy|Romance,Prince of Persia: The Sands of Time ,222403,16149,2,453,English,USA,PG-13,200000000,2010,6.6,23000
Color,575,131,101785482,Action|Adventure|Sci-Fi,Pacific Rim ,381148,19166,0,1106,English,USA,PG-13,190000000,2013,7,83000
Color,428,154,352358779,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon ,326180,2593,2,899,English,USA,PG-13,195000000,2011,6.3,46000
