"Party","Music","Host","WasThere","WasNotThere","CaloriesDanc"
"Boring","Rock","Katya","Qiong","Joe",348
"Fun","HipHop","Sonya","Billy","Vladimir",338
"ItwasOK","Techno","Katya","Qiong","Joe",92
"ItwasOK","Techno","Sonya","Qiong","Manny",258
"Fun","Techno","Janek","Billy","Vladimir",77
"Fun","Rock","Janek","Ada","Joe",130
"Fun","Classical","Alex","Ada","Vladimir",193
"Boring","None","Sonya","Ada","Manny",58
"Fun","Techno","Sonya","Billy","Vladimir",406
"Boring","HipHop","Alex","Eva","Manny",247
"Fun","HipHop","Janek","Ada","Manny",363
"Fun","HipHop","Alex","Ada","Vladimir",436
"Boring","Classical","Xi","Eva","Angela",347
"Boring","HipHop","Xi","Qiong","Angela",107
"ItwasOK","HipHop","Sonya","Billy","Joe",255
"Fun","HipHop","Alex","Qiong","Angela",33
"Fun","Techno","Alex","Janusz","Joe",441
"Boring","Classical","Xi","Qiong","Joe",420
"ItwasOK","Techno","Alex","Janusz","Manny",152
"Fun","HipHop","Katya","Qiong","Manny",345
"Fun","Rock","Xi","Eva","Angela",114
"Boring","HipHop","Alex","Ada","Vladimir",471
"Boring","Techno","Alex","Janusz","Angela",433
"ItwasOK","Rock","Alex","Janusz","Joe",313
"ItwasOK","Rock","Alex","Janusz","Manny",485
"Fun","Techno","Xi","Janusz","Manny",250
"ItwasOK","Rock","Sonya","Ada","Vladimir",351
"ItwasOK","None","Katya","Janusz","Manny",47
"Fun","Classical","Sonya","Eva","Vladimir",227
"Fun","None","Katya","Eva","Manny",104
"Boring","None","Janek","Janusz","Manny",139
"Boring","None","Janek","Janusz","Angela",256
"Fun","Rock","Katya","Billy","Angela",355
"Fun","Rock","Alex","Qiong","Manny",271
"ItwasOK","None","Sonya","Janusz","Manny",439
"Boring","Classical","Alex","Ada","Joe",113
"ItwasOK","Rock","Sonya","Qiong","Angela",491
"Fun","HipHop","Katya","Eva","Joe",289
"ItwasOK","Rock","Xi","Janusz","Manny",494
"Fun","Rock","Janek","Qiong","Vladimir",332
"ItwasOK","Techno","Katya","Eva","Manny",190
